Title,Location,Company,Salary,Sponsored,Description
Consumer NBN Operations Manager,"Pune, Maharashtra",Telstra,None,Sponsored,"About Telstra
Telstra is Australia’s leading telecommunications and technology company, with operations in more than 20 countries, including in India where we’re building a new Innovation and Capability Centre (ICC) in Bangalore.
We’re combining innovation, automation and technology to solve the world’s biggest technological challenges in areas such as Internet of Things (IoT), 5G, Artificial Intelligence (AI), Machine Learning, and more.
Role with us
Own the delivery of Consumer and small business customer activations leading Telstra SMEs and Industry Partner staff across multiple offshore functions remotely and on-site.
Manage and effectively lead a group of technical staff to ensure the successful operations of the Consumer and Mass Market Activations business based within several Industry Partners in India. Achieve agreed customer service delivery and business targets for associated support functions
Key Accountabilities
Leading a team of Operational leads to identify Operational gaps and patterns, execute troubleshooting exercises across the functional streams
Execute on a ‘Manage by Exception’ model, streamlining the connection experience with specialist groups, whilst maintaining a focus on improving the customer experience
Collaborate across the business to create a feedback loop to ensuring we are identifying areas of pain and leveraging relationships to improve process and customer experience
Driving cross functional efforts to meet Operational KPIs and assist with driving the Offshore Industry Partner achieve key deliverables.
Providing Key Operational input to shape the contractual obligations from a commercials stand point
Develop and maintain tracking and reporting frameworks
Identify, discuss and facilitate resolution of all issues, blockers and staff ideas with the industry partner and internal stakeholders to ensure a cycle of improvement, and development of agents is undertaken.
Identify and address any gaps in process or training
Lead the industry partners to deliver successful customer outcomes by way of meeting SLAs and KPIs.
Manage key blockers or dependencies with relevant stakeholders
Build and maintain solid, productive relationships with industry partners and other operational leads to ensure consistency and improvement across the entire NBN activation episode.
Engage in ongoing reviews of business and IT processes and systems to ensure the company’s evolving operational objectives are met
Guide and support our Industry Partners to achieve SLA performance, customer experience expectations and quality standards within budget.
Build highly effective relationships with your peers and all stakeholders
Maintain the business area Operating / Engagement Model, updating it as new situations arise
Accountable for the implementation of new processes & procedures. This may include a small scale, fully operational, implementation of a new process - to learn how to bring the change into complete readiness
Provide technological support in a specialised field through enhanced capabilities
Skills & Experience : 8 + yrs
Mass Market Operations Leadership Team, operational delivery leads, Activation Services (improvement, program, commercial)
project leads, process domains, IT, Sales Channels
Technical Descriptors
Relevant experience in Leading diverse teams
Relevant tertiary qualifications (e.g. business, commercial, management, procurement) coupled with 5 to 10 years demonstrated experience (i.e. considered a specialist in field)
Experience in driving operational improvement programs across third-party service providers, especially in India.
Experience delivering significant cost savings over the life of Partner contracts
Experience engaging and influencing senior stakeholders, both internal and external, to achieve business objectives
Commercial management experience and contribution to solving complex problems.
Proven ability to contribute to and inform strategy development within area of expertise
Demonstrated excellent written and verbal communication skills
Experience working in a complex, cross functional company such as Telstra
International BPO Experience
Customer engagement and relationship management
Why Join us
Our people in India will be at the forefront of technological change as they work collaboratively with, and learn from, world-class experts and have access to the latest training programs and insights for their field.
Alongside your work on leading edge projects, working with us means you'll have access to company perks and benefits that'll reward you for the great work you do. We’re growing, fast, and for you that means many exciting opportunities to develop your career with us at Telstra.
We’re committed to building a diverse and inclusive workforce. To enable everyone to participate, we’ve developed an ‘All Roles Flex’ policy to consider flexible ways of working for every role. To learn more, visit tel.st/allrolesflex"
Senior Automation QA Engineer (Remote/Work-from-home),"Pune, Maharashtra",Wallethub,"₹9,60,000 - ₹21,00,000 a year",Sponsored,"WalletHub is one of the leading personal finance destinations in the US and rapidly growing. We’re looking for a motivated, hardworking, and competitive Senior Automation QA Engineer for a full-time, permanent position.
The expected work schedule is 7 AM to 7 PM EST Monday to Friday, including a 1h break.
Responsibilities
Reporting and validating bugs for all components
Creating test plans and test cases
Creating and maintaining automated tests using Selenium and Java
Identifying opportunities for improvement and making constructive suggestions for change
Staying up-to-date with developing technologies and showcasing them in your work
Qualifications
You are the ideal candidate for this job if you have:
At least 3 years of hands-on experience in Test Automation with Java and Selenium
At least 4 years experience in Manual Testing
Excellent attention to details
Proven ability to meet deadlines and handle multiple tasks in a fast-paced environment
Willingness to work hard
Proficient in written/spoken English
Compensation
Very competitive salary based on prior experience and qualifications
Potential for stock options after the first year
Raise and advancement opportunities based on periodic evaluations
The ability to work overtime for added income
100% remote position
Visa sponsorship (after 24 months with the company, based on performance, in case you will be working from outside the US)
How to apply
To get our attention, all you need to do is apply on Indeed and include your updated resume as well as a brief message telling us why you are the right candidate.If we believe that you will be a good match, we'll contact you to arrange the next steps of the application process.
Please know that we appreciate your interest in our company but due to the high number of applications we are unable to get back to candidates who have not been selected to move forward.
Note
This position does not have a location requirement and can be performed remotely from outside the U.S. without the need for U.S. work authorization.
More about WalletHub
WalletHub is a high-growth fintech company based in Washington, D.C. that is looking for talented, hard-working individuals to help us reshape personal finance. More specifically, we are harnessing the power of data analytics and artificial intelligence to build the brain of a smart financial advisor, whose services we’re offering to everyone for free. The WalletHub brain enables users to make better financial decisions in a fraction of the time with three unique features:
1) Customized Credit-Improvement Tips: WalletHub identifies improvement opportunities and guides you through the necessary corrections.
2) Personalized Money-Saving Advice: WalletHub’s savings brain constantly scours the market for load-lightening opportunities, bringing you only the best deals.
3) Wallet Surveillance: Personal finance isn’t as scary with 24/7 credit monitoring providing backup, notifying you of important credit-report changes.
In addition to the valuable intelligence the brain provides, WalletHub is the first and only service to offer free credit scores and full credit reports that are updated on a daily basis absent of user interaction, rather than weekly or monthly and only when a user logs in. Some other services hang their hats on free credit scores and reports, yet they’re still inferior to what WalletHub considers minor pieces to a much larger puzzle.
Job Type: Full-time
Salary: ₹960,000.00 to ₹2,100,000.00 /year"
Web API Developer,"Gurgaon, Haryana",Agenty Analytics Pvt Ltd,"₹2,64,000 - ₹3,00,000 a year",Sponsored,"Job Summary
With Agenty.com we're building a fully modern user interface for machine learning with hundreds of different types of automotive agents to automate the data collection, processing, validation, translation, cleaning, and the integration with client applications. Agenty is used by customers in retail, healthcare, machine learning, artificial intelligence and many more industries to bring web data to their business. You'll own building this interface in a customer-centric manner, working directly with founding team and global customers to design and implement features throughout the stack.
WHAT WE ARE LOOKING FOR :
- Experience in .Net web API development (MVC, Asp.net and C#)
- Hands on experience building end to end systems
- Experience in writing SQL queries in frameworks like Dapper
- Good knowledge of NoSQL databases like MongoDB, CosmoDB
- Good knowledge of code benchmarking, and unit test in Visual Studio
- Knowledge of AWS Cloud or Microsoft Azure is a plus
Responsibilities and Duties
- Build customer facing web API and integration for global customers in C#, Asp. Net web API & SQL.
- Bug fixes, new feature development.
- Technical documentation, video tutorials and presentations.
- Technical support to solve customers queries
Required Experience, Skills and Qualifications
Asp.net, Web API, C#, SQL Server
Job Type: Full-time
Salary: ₹264,000.00 to ₹300,000.00 /year
Experience:
Asp.Net: 1 year (Required)
work: 1 year (Required)
Education:
Bachelor's (Required)
Location:
Gurgaon, Haryana (Required)"
Small Business NBN Operations Manager,"Pune, Maharashtra",Telstra,None,Sponsored,"About Telstra
Telstra is Australia’s leading telecommunications and technology company, with operations in more than 20 countries, including in India where we’re building a new Innovation and Capability Centre (ICC) in Bangalore.
We’re combining innovation, automation and technology to solve the world’s biggest technological challenges in areas such as Internet of Things (IoT), 5G, Artificial Intelligence (AI), Machine Learning, and more.
Join us on this exciting journey, and together, we’ll reimagine the future.
Role with us
Own the delivery of Consumer/Small Business customer activations leading Telstra Operations specialists and Industry Partner staff across multiple offshore functions remotely and on-site.
Manage and effectively lead a group of technical staff to ensure the successful operations of the Consumer/Small Business Activations business based within our Industry Partners in India. Achieve agreed customer service delivery and business targets for associated support functions
Key Service Delivery metrics include;
 Customer satisfaction impacting metrics - episode Net Promoter Score, Cycle Time, Customer Right First Time & TCD
 Service Delivery - manage the quality of the output in order to achieve key operational metrics (e.g. Partial Completes, Reschedules, Re-raises, Complaints, & Call Centric measures such as ASA, Abandon rate & FCR
 Risk management – ensure compliance to all regulatory obligations (ie: ACMA, Priority Assist, etc.)
 Financial - managing performance within budget and to agreed productivity levels
Key Accountabilities
agreed service levels
Identify Operational gaps and patterns, execute troubleshooting exercises across the functional streams to ensure order progression and removal of blockers
Providing Key Operational input to shape the contractual obligations from a commercials stand point – includes input into the monthly forecasting decision
Develop and maintain tracking and reporting frameworks
Identify, discuss and facilitate resolution of all issues, blockers and staff ideas with the industry partner and internal stakeholders to ensure a cycle of improvement, and development of agents is undertaken.
Identify and address any gaps agent skill set or training requirements inhibiting delivery to operational performance metrics
Build and maintain solid, productive relationships with industry partners and other operational leads to ensure consistency and improvement across the entire NBN activation episode.
Engage in ongoing reviews of business and IT processes and systems to ensure appropriate input is provided to the vertical on the segments continuous improvement program of work
Build highly effective relationships with your peers and all stakeholders
Maintain the business area Operating / Engagement Model, updating it as new situations arise
Accountable for ensuring the effective implementation and embedding of new processes & procedures on the ground. Liaison back into the Vertical on all change programs to ensure the operational requirements are factored into the change plans
Lead in country situational management to drive partner performance
<Include risk/compliance related obligations>
Facilitate monthly business review for the Consumer/Small Business activation segment, driving collaboration across the Industry Partner and the Service Delivery team and the Activations vertical
Skill & Experience: 8 + yrs
Relevant experience in Leading diverse teams
Relevant tertiary qualifications (e.g. business, commercial, management, procurement) coupled with 5 to 10 years demonstrated experience (i.e. considered a specialist in field)
Experience in driving operational improvement programs across third-party service providers, especially in India.
Experience delivering significant cost savings over the life of Partner contracts
Experience engaging and influencing senior stakeholders, both internal and external, to achieve business objectives
Commercial management experience and contribution to solving complex problems.
Proven ability to contribute to and inform strategy development within area of expertise
Demonstrated excellent written and verbal communication skills
Experience working in a complex, cross functional company such as Telstra
International BPO Experience
Customer engagement and relationship management
Technical Descriptors
Motivate - Motivates with Vision and Meaning, Empowers and Coaches Others
Accelerate - Accelerates Change, Drives Speed and Agility
Customer engagement
Collaborate - Collaborates to Achieve Outcomes, Develops Inclusive, High Performing Teams
Innovate - Challenges to Simplify and Innovate, Leads Customer Obsession
Stakeholder management
Anticipating change
Improving technology systems, Improving processes
Business partnering
Why Join us
Our people in India will be at the forefront of technological change as they work collaboratively with, and learn from, world-class experts and have access to the latest training programs and insights for their field.
Alongside your work on leading edge projects, working with us means you'll have access to company perks and benefits that'll reward you for the great work you do. We’re growing, fast, and for you that means many exciting opportunities to develop your career with us at Telstra.
We’re committed to building a diverse and inclusive workforce. To enable everyone to participate, we’ve developed an ‘All Roles Flex’ policy to consider flexible ways of working for every role. To learn more, visit tel.st/allrolesflex"
Freelancer Artificial Intelligence or Block Chain,"Coimbatore, Tamil Nadu",KEYS,"₹4,000 - ₹6,000 a day",Organic,"Job Summary
Looking for a freelancer who can train final year students on Artificial Intelligence and Block Chain. Also to help them enhancing their knowledge in software field. kindly share your resume and profile.
Responsibilities and Duties
To be able to deliver valuable content and make the student to understand the concepts well.
Required Experience, Skills and Qualifications
Minimum one year of experience, Good communication and high subject knowledge.
Job Type: Temporary
Experience:
work: 1 year (Preferred)
Education:
Bachelor's (Preferred)"
And Artificial Intelligence Engineer - And,"Pune, Maharashtra",Asteria Aerospace Pvt. Ltd.,None,Organic,We are looking for an enthusiastic AI expert to develop algorithms for our spatial big data sets We are discovering ways to automatically derive geometric properties and attributes from big data r At AND we are currently gearing up to accelerate our services to exceed expectations and the future demands of autonomous driving and real- time map updating To develop and deliver this ambition we are now hiring for our office in the Rotterdam area r What we look for in you r A bachelor or master degree in Artificial Intelligence or comparable knowledge by experience r Working knowledge of Machine Learning…
Intership for Artificial Intelligence,"Thiruvananthapuram, Kerala",Adhoc Info services,"₹18,000 - ₹80,000 a month",Organic,"Job Summary
In Artificial Intelligence training course you learn Python, Principles of Machine Learning, Deep learning fundamentals with Keras, Deep learning fundamentals with Pytorch, Reinforcement Learning, Speech Recognition Systems, Natural Language Processing, Neural Network, Azure Machine Learning, Chatbot and Tensorflow.
Responsibilities and Duties
By now, we are quite sure you would have understood the roles and responsibilities of data scientists.Machine Learning (ML) scientists build methods for predicting product suggestions and product demand and explore Big Data to automatically extract patterns. Machine learning and Artificial intelligence are integral parts of data science, where techniques from both such as regression, predictive analytics and more are applied. If you are an AI aspirant, you might want to consider more about becoming a machine learning engineer
Qualifications and Skills
AI is the latest buzzword in Tech. All the major enterprises will make use of AI in the future to improve their productivity. Tech giants like Apple, Google and Facebook have already climbed on the bandwagon of AI. So what are you waiting for? Both Data Science and Machine Learning are generating more jobs making these two areas the fastest growing tech employment areas today.
The demand for AI certified professionals will grow along with the developments in AI. Getting trained in AI will give you an edge over other IT professionals as AI is the future of IT.
Benefits
According to the latest industry estimates, an AI professional with an experience of 2-4 years can earn annually ₹ 15-₹ 20 lakhs ($20.6-27.5K). Experienced professionals with 4-8 years can expect up to ₹ 20-₹ 50 lakhs ($20.6-68.8K).
Job Type: Full-time
Salary: ₹18,000.00 to ₹80,000.00 /month
Experience:
work: 1 year (Preferred)
Education:
Diploma (Required)"
Artificial Intelligence Researcher - Freshers,"Bengaluru, Karnataka",BigSpire Software,None,Organic,"Skill Sets: Should have a good communication skills, knowledge in AI concepts and analytical skills

Qualifications: Bachelor or Masters degree in Business Management, Mathematics, Statistics, Economics, Computer Science

Please forward your resumes to careers@bigspire.com and we will get back to you if your resume matches our job criteria.

Thanks for applying for the job at bigspire"
Artificial Intelligence and Machine learning engineer,"Ahmedabad, Gujarat",JB Solutions,None,Organic,"Educational Qualification : B.E. / B.Tech / M. E./ M.tech in IT/CE

Experience in deploying / building a fast, distributed, and fault-tolerant Artificial Intelligence infrastructure.
Working experience with Python and associated libraries in Deep Learning/ Machine Learning Framework.
Research and implement appropriate Machine Learning algorithms and tools.
Development of web based algorithm for image processing.
knowledge of Computer Vision.
Adapt & learn new technologies as required.
Website : www.jbsolutions.in
Job Location : Ahmedabad
Years of Experience : 2 Yrs - 7 Yrs
Skills : Artificial Intelligence, Machine Learning, Deep Learning, AI, ML, NLP, Computer vision
Venue : 304 Shukan Business Center, Swastik Cross Road C G Road, Ahmedabad, Gujarat, 380009"
Artificial Intelligence / Machine Learning Engineer,"Pune, Maharashtra",Healthcoco Technologies,None,Organic,"About the Job
AI / ML is one of the most exciting technologies of the decade. This role is your opportunity to build and deploy new AI products from the ground up. You will be part of a team helping chart our AI strategy and define the problems we are solving with AI. You will help build our AI development and production infrastructure and set our technical standards. To succeed you must become an expert in building AI models and putting them into production.
Requirements
Have 1+ years of work experience with large volumes of data preferably in healthcare.
Have a formal education in relevant fields such as stats, computer science or applied mathemathics.
Love data. You need to eat, breathe and sleep data. For you, everything has to be measured and data-driven.
You should have a very good understanding of Python and Image processing, and hands-on software development skill from the development to production.
Are an expert at data visualization and presentation.
Have a strong background in statistical concepts and machine learning models."
