Title,Location,Company,Salary,Sponsored,Description
Vendor Master Data Analyst,"Bengaluru, Karnataka",Hexion Inc.,None,Sponsored,The Vendor Master Data Analyst is part of a global team who establishes and follows procedures that maintain the integrity of data for Master Data in SAP. These procedures allow business objectives to be met and to be compliant to (regional) Government regulations and Hexion regulations. The Master Data Analyst role is the key for setting up a good foundation for further execution of the business processes.
Data Analyst,"Bengaluru, Karnataka",TARGET,None,Sponsored,"Description:
About us:
Target is an iconic brand, a Fortune 50 company and one of America’s leading retailers.
Behind one of the world’s best loved brands is a uniquely capable and brilliant team of data scientists, engineers and analysts. The Target Data Science & Analytics team creates the tools and data products to sustainably educate and enable our business partners to make great data-based decisions. We help develop the technology that personalizes the guest experience, from product recommendations to relevant ad content. We’re also the source of the data and analytics behind Target’s Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measure or A/B test opportunities that continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.
A role with Data Science and Analytics (DSA) means being a part of the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.
As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.
Core responsibilities are described within this job description. Job duties may change at any time due to business needs.
About You:
B.Tech / B.E. or equivalent experience
1+ years of relevant experience
“Hands-on” experience in analytics / data science
Understanding of foundational mathematics and statistics
Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc.
Basic SQL skills
Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise
Exposure to R, Python, Hive, or other open source languages preferable
Big data experience preferable

Qualifications:"
Data and Analytics,"Bengaluru, Karnataka",Infosys,None,Sponsored,"Role Designation- Lead Analyst - Data Science

Responsibilities- 1. Document simple as-is customer processes 2. Appreciate the context of customer requirements from specific engagements 3. Align our deliverables to customer requirements 4. Responsible for successful delivery of Advanced Analytics solutions and services in client consulting environment; experience in optimization (linear, mixed integer, constraint programming), simulation, and/or predictive analytics using AAO tools, such as SAS or SPSS. 5. Define key business problems to be solved; formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw conclusions and present to client. 6. Assist clients in identifying type of analytics and management data that will directly relate to improving clients' market share or any other measure client is addressing. 7. Identify the differentiators, map them to present-day environment, and then design an improvement plan. 8. Discover new opportunities to optimize the business through analytics and statistical modeling. 9. Oversee all aspects of analytics and business intelligence projects. 10. Develop and maintain reporting and analytical tools, including Business Objects.

Technical and Professional Requirements- Education and experience: • Prefer PhD or Master’s degree in Statistics, Mathematics, Engineering, Commerce, Science • Domain experience in Retail/Finance/Supply Chain or/and Marketing will be an added bonus • Exposure to US/ overseas markets is preferred Domain / Technical /Tools Knowledge: • Proficiency with statistical analysis tools (e.g., SAS, SPSS, R) • Hands on experience in Statistical Techniques such as Decision Tree, Segmentation, Logistic and Multiple Regression, and others • Experience of Campaign Management and Customer Segmentation is desirable • Strong Excel, Access and PowerPoint skills • Familiarity with database query tools (SQL) • Basic understanding of data warehouse architecture

Educational Requirements: MSc , BE , BSc
Service Line: Unit-IPS-Data & Analytics Unit"
Analyst Quality Programs,"Bengaluru, Karnataka",TARGET,None,Sponsored,"Description:
PRIMARY FUNCTION
Ensures a high level of quality service for guests and business partners by owning the assigned quality processes and projects related to Quality Support applications. Create and maintain new capabilities, assist TI quality team and other partners in obtaining data relevant to applicable strategies, and work to ensure stable, reliable, consistent tools and data sources.
PRINCIPAL DUTIES AND RESPONSIBILITIES
Responsible for the planning & execution of projects/workload by building, tuning, maintaining all interaction analytics categories within applicable tools.
Handle reporting, calibrations, data collection & other interactions with Target India & MPLS partners.
Own & Lead efforts to analyze data and provide recommendations to support TI Managers and Quality Support Specialists by listening to calls, analyzing transactions & other non-call data. By compiling information and reporting from quality tools, support the execution of targeted quality projects, contact center agent performance, contact center guest experience (Net promoter score), compliance discrepancies etc.…
Act as a subject matter expert for the related work stream, lead projects and other initiatives assigned as a POC, adhering to all POC responsibilities. Support other work streams as required.
Collaborates effectively within the Quality team (TI & MPLS) to clearly define objectives, requirements, timelines, analysis requirement and success measures of projects/initiatives of related work-stream.
Measure performance (Accuracy, Timelines, POC responsibilities etc.) through tracking feedback from auditors and partners as a POC on all assigned projects and call out challenges on a timely manner to ensure smooth experience for Partners and Auditors.
Train & share knowledge as required – create training plans, training documents, share feedback on trainee progress & manage their performance through the ramp period.
Interact with TI POC’s, QSS and TI Managers to identify, define and measure the impact of work/data capture completed by the auditors.
Maintain track record of performance, impact and feedback received for POC’s/responsible Level3’s on all projects/initiatives and call out trends to TI Managers.
Own, publish and present end to end of critical reviews & reports, dashboards of processes as applicable to the relevant stakeholders. Create & maintain documentation on the processes supported to iron out any discrepancies & have clear guidelines for future support.
Perform additional responsibilities as assigned
Work towards the Team deliverables in Target India. Contribute to the overall productivity and accuracy as per standards defined in the team
Drive the different initiatives in Target India with enthusiasm and in a fast, fun and friendly way.
Support project and department leaders to identify, analyze and evaluate business/Team issues.
Make recommendations for process improvement and participates in implementation of new initiatives.
Flexibility to work outside normal business hours as required
REPORTING/WORKING RELATIONSHIPS
Reports to: TI Sr. Manager
Working relationships with Quality Business Consultants and FRS business areas as need, including Business Systems, Global Operations, and contact center leader
JOB REQUIREMENTS
MINIMUM REQUIREMENTS:
3 years of relevant experience in contact center (listening to calls, managing reports etc.)
3 years Bachelor’s Degree
Excellent communication and organizational skills
Strong problem solving, critical thinking and decision making skills,
Data Mining, Ability to identify data trends
Strong Team player
Root cause Analysis and concepts of yellow belt, Lean
Project management skills & Presentation skills
Reporting and analytical skills
High MS office & VBA knowledge on Excel
DESIRED REQUIREMENTS
Speech analytics capabilities

Qualifications:"
Research Analyst / Sr Research Analyst - Oil & Gas / Energy...,"Baner, Pune, Maharashtra",Absolute Reports Pvt Ltd,"₹3,60,000 - ₹8,00,000 a year",Organic,"Job Summary
We are seeking an efficient, detail-oriented R*esearch Analyst/Sr Research Analyst* to join our growing organization. In this position, you will interpret, manage, and analyze research data in order to translate results into better solutions.
Responsibilities and Duties
Duties and Responsibilities:
**
Authoring thought-provoking and incisive articles and market intelligence reports as well as supporting consulting engagements for the Global Oil & Gas Unit.
Conducting primary research, which will involve the entire gamut of activities - identifying, developing contacts and interviewing C-level executives, key stakeholders and other industry experts to generate quantitative and qualitative insight.
Conducting secondary research to build the analytical sections within each report and to identify data-points/market trends etc. that would authenticate the market data within the internal databases.
Comprehend subject matter relevant to business/industry topics in Oil & Gas and contribute to the development of analytical frameworks for research and consulting projects.
Recommend actions by analyzing and interpreting data, thus conducting comparative analysis.
Designing Research Proposals for existing and new clients.
Company Profiling and Brand Share Analysis
Detailed comprehension of the historic, current and forecasted trend of the market by analyzing the impact of current therapies on the market, unmet needs, drivers and barriers and demand for better technology
Providing support to team lead / managers on client calls
Min Exp : 1.5 +yrs in Market Research (Report Writing)
**
**Domain : Oil & Gas / Energy & Power
**
Qualifications and Skills
Strong analytical and critical thinking skills
Exceptional written, oral, and presentation communication abilities
Expertise with Excel, PowerPoint, Word, Visio, and Outlook
Proficiency using the web, private, and public database as a resource for finding information.
Ability to perform financial analysis and develop models
Benefits
Sat & Sun Fixed Off
Friendly Work Culture
Flexible Timings
Job Type: Full-time
Salary: ₹360,000.00 to ₹800,000.00 /year
Experience:
Report Writing: 1 year (Required)"
Data Quality Analyst,"Pune, Maharashtra",Maersk,None,Organic,"Data Management practice is set up under Business Intelligence/BI Function with scope covering various Maersk group companies. This organization is responsible for Data Management & Data Governance of all Data in Maersk group including Master data, Reference data and even Transactional data. We also support internal projects with offerings like Data Governance set up, Access Management, Data Quality Review, Data Profiling, Data Reporting, Data Migration & Data Mapping.
We offer
As an employee with Maersk GSC you will be part of a working environment as diverse as the APMM group. Maersk strongly encourages continuous learning at work and sharing of best practices by rewarding innovations. We aren’t all about work, we believe in a holistic development of our employees and so regularly organize recreational activities giving our employees a chance to unwind and showcase their creative side. As an organization we strongly believe in a people-centric approach with emphasis on employee engagement and work-life balance.
Key responsibilities
The Data Quality Analyst will be responsible for the following tasks, amongst others:

Staging data into DQ repository form multiple source systems for data quality analysis.

Examining the data and collecting statistics or informative summaries about that data.

Running data profiling on the source data and identifying and reporting anomalies based on pre-defined business rules / standards

Assess data quality, including whether the data conforms to standards or patterns.

Assess the risk involved in integrating data in new applications, including the challenges of joins

Raising data quality level for different data objects.

Providing a high level of data quality awareness among users to get the clean-up done.

Helps the Scrum Master & Product Owner in the ongoing management of the backlog, working ahead of the team to ensure that future product requirements are well defined

Evaluating and identifying where system enhancements are required.

Sharing data quality reports with business users at regular intervals.

Coordinate with business users for performing manual cleansing as required

Supports Business Data Stewards to develop and refine Business Metadata.

Lookout for changes to data-related legislation for external business implications as well as internal communications and compliance

We are looking for
Should have high energy level, and thrive in a fast-paced environment with ambitions to deliver outstanding results. We require fluency in oral and written English, and proven experience with the
following:

5-6 years of experience working as a Data Analyst in a global organisation with understanding of SQL query writing and exposure to Informatica ETL tool.

Good understanding of data quality life cycle and data quality dimensions.

Excellent Data Profiling and Data Quality skills.

Collaboration and teamwork, and an ability to look beyond functional needs to the bigger picture

Grasping complex issues and driving effective problem solving

Proven passion for the data quality discipline

Good interpersonal skills

Outstanding attention to detail

Talent for quickly learning new tasks

Strong analytical and problem-solving skills

A strong drive for results

Ability to function in a high-volume setting with tight deadlines

Demonstrates ability to think both strategically and tactically.

Experience with the principles and concepts used in Master Data Management."
Data/Research Analyst,"Pune, Maharashtra",BizKonnect Solutions Pvt Ltd,None,Organic,"Job Summary
Work with the Business Analyst to understand the data needs.
Understand and leverage the sources of information.
Understand the tools to research the data and also capture the data.
Keep adding to the sources of information.
Work with the automation team to automate the search to the extent possible.
Update the platform with the researched information.
Understand and implement the data aggregation rules.
Ensure the quality of the researched data and communicate the confidence level.
Responsibilities and Duties
Work with the Business Analyst to understand the data needs.
Understand and leverage the sources of information.
Understand the tools to research the data and also capture the data.
Keep adding to the sources of information.
Work with the automation team to automate the search to the extent possible.
Update the platform with the researched information.
Understand and implement the data aggregation rules.
Ensure the quality of the researched data and communicate the confidence level.
Job Type: Full-time
Experience:
work: 1 year (Preferred)
Education:
Bachelor's (Preferred)"
Market Data Research Analyst,"Pune, Maharashtra",Mindtech Services,None,Organic,"Skills Required: –
Excellent Verbal & Written Communication Skills in English.
Min 3-6 months of Work experience into Lead Generation same domain or International Voice process is required.
Efficiency on LinkedIn & MS-Office required.
Should have worked in the same domain.
should know to make research using online platforms like LinkedIn, ZoomInfo, hoovers, Manta etc
Microsoft excel
Job Description: –
Working from customer lists and/or database and generating contacts & emails.
Build and maintain an accurate customer/prospect database by profiling and capturing relevant customer/prospect information
Generate emails for B2B campaigns.
Database enrichment
Education Qualification: –
Undergraduates / Graduates/ Post Graduates from all streams.
Job Type: Full Time
Job Location: Pune
+91 9970516000
hr@mindtechservices.com
10:00 AM TO 7.00 PM
3A, City Vista, Ashok Nagar, Kharadi"
HSE Data Analyst,"Pune, Maharashtra",Honeywell,None,Organic,"Implement and coordinate the operational aspects of ongoing Customer & Product Support projects. You will serve as liaison between project management and planning, project team, and line management. You will review status of projects and budgets. You will support schedules and prepare status reports. You will discover project issues, and deploy resolutions to meet productivity, quality, and customers satisfaction goals and objectives. You will monitor project progress, and problem solve with project managers, line managers, and customers.
Key Responsibilities
Project Management
Project Planning
Customer Support
Facilitate Team Alignment
Prepare Status Reports
YOU MUST HAVE
WE VALUE
A knowledge of principles and best practices in (customer service)
Good team and communication skills
An ability to take initiative and work with limited direction
Additional Information
Category: Customer/Product Support
Location: 56 & 57 Hadapsar Industrial Estate, Pune, MAHARASHTRA 411013 IND
Nonexempt"
Data Lineage Analyst,"Pune, Maharashtra",UBS,None,Organic,"Your role
Are you detail oriented, with experience in running operational processes and controls, as well ensuring that complex concepts are simply and correctly documented?
Are you able to communicate confidently and concisely across all levels of seniority and functional and divisional boundaries?
Are you a quick learner who enjoys working as part of a team that has global presence?
Do you spot opportunities to improve processes and then implement these efficiencies to realize benefits?

We’re looking for a Data Lineage Analyst to:
Partner with Business Divisions, Functions, IT and other teams in the DMO to ensure the creation and maintenance of all artefacts (systems, data elements, controls, ownership) captured in the Group Data Dictionary in line with our enterprise wide 'data language', that reflects the flow of the UBS group's critical data across applications
Support users across business divisions in navigating and using the contents of the group data dictionary to understand data sources and controls
Improve and further develop the processes and controls within the team, playing a key part in the migration to a new Data Dictionary IT solution by participating in IT requirements gathering, testing and releases
Produce metrics and reporting on the 'health' of the data dictionary, ensuring the resolution of all data integrity exceptions
Present back findings to executive management, both 1:1 and through existing governance forums, to confirm understanding and obtain ratification and
Maintain an excellent standard for all aspects of project delivery and governance, including planning, status reporting and risk management
Your team
You will be working in Group Operations within the Data Management Office (DMO). This role sits within the Data Lineage team, which operates out of Weehawken, London, Bangalore and Pune. The Data Lineage team is responsible for working directly with divisional subject matter experts, in both the business and IT, to map data flows in the organization and populate and maintain the group data dictionary. The DMO is responsible for embedding a data management culture into the organization by advocating for our strategy and proactively challenging the way the firm works with data. The DMO is made up of approximately 100 people, comprising UBS permanent staff, contractors and consultants.
Your expertise
At least 1-3 year(s) of experience in Financial Services, Consultancy or Data within other industries
Excellent analysis and documentation skills with the ability to grasp new concepts easily and to adapt within a changing environment
Methodical, concise and accurate, with strong attention to detail and excellent organisational skills, including the ability to work under pressure and meet deadlines
Excellent stakeholder management and communication skills, both written and oral; comfortable interacting with colleagues at all levels
Team player with a flexible and adaptable approach to work, and a motivated self-starter
Knowledge of Banking or Capital Markets and familiar with current regulations such as BCBS 239, IFRS, CCAR, and an understanding of application data governance and data management (desirable, not essential)
Your colleagues
About us
Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.

We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?
Join us
We're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.
Disclaimer / Policy Statements
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce."
