Title,Location,Company,Salary,Sponsored,Description
Data and Analytics,"Bengaluru, Karnataka",Infosys,,Sponsored,"Role Designation- Lead Analyst - Data Science

Responsibilities- 1. Document simple as-is customer processes 2. Appreciate the context of customer requirements from specific engagements 3. Align our deliverables to customer requirements 4. Responsible for successful delivery of Advanced Analytics solutions and services in client consulting environment; experience in optimization (linear, mixed integer, constraint programming), simulation, and/or predictive analytics using AAO tools, such as SAS or SPSS. 5. Define key business problems to be solved; formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw conclusions and present to client. 6. Assist clients in identifying type of analytics and management data that will directly relate to improving clients' market share or any other measure client is addressing. 7. Identify the differentiators, map them to present-day environment, and then design an improvement plan. 8. Discover new opportunities to optimize the business through analytics and statistical modeling. 9. Oversee all aspects of analytics and business intelligence projects. 10. Develop and maintain reporting and analytical tools, including Business Objects.

Technical and Professional Requirements- Education and experience: • Prefer PhD or Master’s degree in Statistics, Mathematics, Engineering, Commerce, Science • Domain experience in Retail/Finance/Supply Chain or/and Marketing will be an added bonus • Exposure to US/ overseas markets is preferred Domain / Technical /Tools Knowledge: • Proficiency with statistical analysis tools (e.g., SAS, SPSS, R) • Hands on experience in Statistical Techniques such as Decision Tree, Segmentation, Logistic and Multiple Regression, and others • Experience of Campaign Management and Customer Segmentation is desirable • Strong Excel, Access and PowerPoint skills • Familiarity with database query tools (SQL) • Basic understanding of data warehouse architecture

Educational Requirements: MSc , BE , BSc
Service Line: Unit-IPS-Data & Analytics Unit"
"            Senior Software Engineer – Trading and Analytics - Pune, Ind...","Pune, Maharashtra",Bloomberg,,Sponsored,"Every day, our systems analyse, process, and execute trading on trillions of data points. As a result, the biggest players in the financial industry depend on our 500 enterprise applications to manage their portfolios, execute their trades and analyse the markets. As engineers, we're building the applications our clients rely on to not just stay informed, but stay ahead of the market. The applications and infrastructure we build embody the speed, agility and financial data that make Bloomberg the go-to for financial professionals across the globe.
You'll have the opportunity to learn about the financial markets and take ownership of the growth our industry-leading applications. You'll lead projects, partner with the business and meet clients to understand their workflows. Our opportunities cover all phases of the software development life cycle, providing a chance to make an immediate impact and work on the financial world's toughest technical challenges. We're looking for passionate engineers who want to help us take our products to the next level.
We'll trust you to:
Take responsibility for the full software development life-cycle, from understanding the needs of the business through to coding, deployment and maintenance. Your work will be highly visible, making you highly accountable
Enjoy solving highly complex problems while understanding the scope and impact of your work
Be quick, resourceful, flexible, and an excellent collaborator. You will balance the best of technical and product knowledge to craft unsurpassed product solutions for our customers
Engage with the wider community – from Inner Source to Open Source, you're someone who likes to collaborate
You'll need to have:
Minimum of 3+ years demonstrated experience programming in C++
An aptitude for analytical problem solving
Exposure to all phases of the software development life cycle
A degree in computer science, computer engineering, or related is required
We'd love to see:
Experience with other object-oriented programming languages
Experience with multithreading
Familiarity with SQL, Python and JavaScript
Experience with high volume, high availability distributed systems
An interest in the financial markets
If this sounds like you:
Apply if you think we're a good match. We'll get in touch to let you know what the next steps are.
Other Resources:
Olivia Meets Chelsea Ohh, Software Engineer Team Lead at Bloomberg:https://www.youtube.com/watch?v=tmatgY7wGBE&feature=youtu.be
Check out Bloomberg Engineering -> www.bloomberg.com/engineering
Read about the unique problems we're solving -> TechAtBloomberg.com
See how Bloomberg's leading the way toward a sustainable future ->https://www.bloomberg.com/impact
Why Bloomberg:
Bloomberg is a financial technology company. Our technology drives the world's leading financial market participants. Our strength – delivering data, news and analytics through innovative technology, quickly and accurately – is at the core of the Bloomberg Professional service, which provides real time financial information to more than 310,000 subscribers globally. Bloomberg has one of the largest private networks in the world, and we process billions and billions of data from all over the globe.
Seehttps://www.bloomberg.com/careers/technology/engineering/ to learn more about our Engineering culture.
Bloomberg is an equal opportunities employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Bloomberg is a disability inclusive employer. Please let us know if you require any adjustments to be made for the recruitment process by emailing access2@bloomberg.net."
            Customer Development Officer - CM - Punjab,"Delhi, Delhi",Colgate-Palmolive,,Sponsored,"No Relocation Assistance Offered
# 73874 - Delhi, Delhi, India

A] POSITION DESCRIPTION

POSITION TITLE:
Customer Development Officer

FUNCTION:
Customer Development

DEPARTMENT & SECTION:
Customer Development – Channel Management

MANAGER:
Area Manager

MANAGER’S MANAGER:
CD Manager- Regional Manager

LOCATION :
PAN India (each CDO to be allotted a zone)

Job Purpose (Summary of what the job exists to accomplish)

Ensure width and depth of distribution of CP products in the given zone and implementation of CD strategies so as to achieve the sales and distribution objectives for the zone

Job Context & Challenges (Indicate type and complexity of the challenges)

Ensure effective execution of the CD strategies and roll out of schemes by closely working with the stockists, SSMs and PSRs across the zone

Functional linkages (Indicate frequency where applicable )

Internal: CDTL, CDM, Area Managers, CDO IM, Customer Supply Chain Manager, Shopper Development Manager and Customer Finance Manager.
External: Stockists, PSRs , Stockist Salesmen and trade (As per PJP)

Key Accountabilities (A collection of duties and/or responsibilities assigned)

Accountability
Related Activities

Distribution Management
Trade management
Identify new markets/accounts and bring them under direct coverage on a regular basis
Ensure addition of speciality wholesalers
Ensure stores in route list are classified according to the correct RE
Ensure that SSM efforts are directed to reduce number of nonpurchasers
Ensure optimum usage of activations to drive sales
Ensure sales call efficiency
Selling stories range selling, handling objections, etc.

In-store management
Prioritise accounts for maximum impact through visibilities (ensure coverage of top 2 outlets in every route)

Market Updates

Secure and draw insights from any competitive information available in public domain regarding:
New products
Activities
Schemes
Any other developments

Data based working and communication

Utilize data to drive overall business performance
Setting objectives for market visits
Reviewing salesmen and PSR performance against plan
Reviewing stockist performance against plan

Developing and training
Train and develop salesmen through required mode of training ( e.g. new products, toothbrush assortment, focus on medical stores i.e. PASSION understanding)
Coach and motivate salesmen to perform well by ensuring that CP benefits are availed by SSMs
Medical benefit
PPF
80% of HN1 earnings, etc.
Acknowledge any issues faced by salesmen in the field and provide support to resolve it

Meetings
Conduct effective monthly and weekly salesmen meetings
Updates on route wise overall STT
Toothbrush STT
Route wise ERC and productivity
Brand wise ERC
Visibility booking
HN1 tracking
Best practises sharing and mock calls

Reporting
Compile reports and information as per requirements communicated by AM

Relationship Building
Maintain trust and understanding in working with stockist and trade in general, especially partner with key wholesalers to drive business
Share success stories
Communicate program to build offtakes
Mutually work towards category growth
Resolve issues, etc.

Experience

Essential: 2 years of experience in FMCG Companies (similar role and similar market environment) or confirmation as a CDO after meeting performance expectations as a CDO intern
Desirable: 3 years of experience in FMCG Companies (similar role and similar market environment) or confirmation as a CDO after exceeding performance expectations as a CDO intern

Professional Qualifications & Training

Essential: Post graduate in Business Administration
Desirable: Post graduate in Business Administration (Sales & Marketing specialization)

Equal Opportunity Employer
Colgate is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, ethnicity, age, disability, marital status, veteran status (United States positions), or any other characteristic protected by law.
Are you interested in working for Colgate-Palmolive? You can apply online and attach all relevant documents such as a cover letter and resume or CV. Applications received by e-mail are not considered in the selection process. Become part of our team. We look forward to your application.
Colgate-Palmolive is a leading global consumer products company, tightly focused on Oral Care, Personal Care, Home Care and Pet Nutrition. Colgate sells its products in over 200 countries and territories around the world under such internationally recognised brand names as Colgate, Palmolive, elmex, Tom’s of Maine, Sorriso, Speed Stick, Lady Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Elta MD, PCA Skin, Ajax, Axion, Fabuloso, Soupline and Suavitel, as well as Hill’s Science Diet and Hill’s Prescription Diet.
For more information about Colgate’s global business, visit the Company’s web site at http://www.colgatepalmolive.com. To learn more about Colgate Bright Smiles, Bright Futures® oral health education programme, please visit http://www.colgatebsbf.com. To learn more about Hill's and the Hill’s Food, Shelter & Love program please visit http://www.hillspet.com. To learn more about Tom’s of Maine please visit http://www.tomsofmaine.com.
Reasonable accommodation during the application process is available for persons with disabilities. Please contact Application_Accommodation@colpal.com with the subject ""Accommodation Request"" should you require accommodation."
Data Center Operations Engineer II (5+ Years DATA CENTER Exp...,"Mumbai, Maharashtra",GPX India Pvt Ltd,,Sponsored,"Summary: The Data Center Customer Operations Engineer’s primary responsibility is to support GPX customers. Additional responsibilities included assisting with the monitoring of the GPX data center and critical infrastructure. *** Shift and weekend work required ***
ESSENTIAL DUTIES
Assists Customer personnel with troubleshooting and support on servers, SSD’s, networking equipment., and cross-connects including fiber.
Assist Customers with backups and restores.
Assists with the installation and testing of Customer equipment.
Answers all Customer calls for service, enter them into the trouble ticket system, and takes appropriate action to resolve customer issues.
Responsible for ensuring all GPX employees properly utilize the trouble ticket system, cable management system, and network management systems.
Performs/ assists in remote testing functions and follows-up with written reports.
Maintains customer records and updates customer requests.
Provides a single point of contact for all trouble requests.
Respond to emergency situations in an efficient, friendly and timely manner.
Provide daily, weekly, monthly shift reports on all incidents to Data Center Management.
Responds to phone calls, emails, fax and web requests in an accurate and timely manner in accordance with Company policies and procedures.
Responsible for monitoring the Security Systems to ensure that GPX Security policies are being adhered to.
May assist with the troubleshooting and repair of electrical systems (UPS, DG, STS, ATS), mechanical systems (chiller, CRAH), security and access, fuel systems, and fire systems.
May assist with the inspections of all data center equipment, including PDU, Switchboards, DG’s, Chiller’s, and CRAH’s.
Follows and executes procedures, standards and technical training related to GPX’s and Customers equipment. Recommends changes for improvement as appropriate.
Escalates Customer issues to GM Customer Operations.
POSITION REQUIREMENTS
These specifications are general guidelines based on the minimum experience normally considered essential to the satisfactory performance of this job. Individual abilities may result in some deviation from these guidelines.
To perform effectively in this position, the candidate must have:
The ideal candidate should have 5+ years of experience as a NOC or Data Center Engineer.
Previous experience in a customer facing role with excellent verbal, written, and customer service skills
Advanced knowledge of servers, storage, and computer networks.
Basic knowledge of UPS’s, DG’s, Chillers, or CRAHs, not necessary, but would be an advantage.
Ability to accurately utilize a personal computer with working knowledge which Microsoft Office software including Excel, Word, Access, Microsoft Project, Cable Management System, Trouble Ticket System, etc.
Must be able to follow written procedures and policies with minimal supervision.
Ability to be reached by mobile and/or landline phone when on call.
Ability to work various shifts and to fill-in as needed in emergency staffing situations.
EDUCATIONAL REQUIREMENTS
The Data Center Customer Operations Engineer should have a 3-year diploma in one of the following areas:
1) Information Technology
2) Electronics
3) Electronics and Telecommunications
4) Electrical Systems
5) Mechanical Systems
or a 4-year university degree in computer science, electronics, Electronics and telecommunications, electrical engineering, or mechanical engineering.
Job Type: Full-time
Salary: ₹400,000.00 to ₹800,000.00 /year
Experience:
NOC or Data Center Engineer: 5 years (Required)
Location:
Mumbai, Maharashtra (Preferred)
Language:
English (Required)
Shifts:
Morning (Required)
Mid-Day (Required)
Evening (Required)
Graveyard (Required)"
Data Science - Intern,"Bengaluru, Karnataka",zeotap,,Organic,"zeotap unites the world's most valuable data to fuel growth. We enable our clients to achieve better results through precision at scale and intelligent technology.

The first company to win major telecom operators around the world as data partners, zeotap has since become the leader in sourcing, refining and distributing high-quality data from large enterprises. We have earned our partners’ trust through a strict focus on regulatory compliance, privacy-by-design and information security, including ISO 27001 certification.

zeotap provides data to the digital advertising ecosystem for better mobile targeting and insights. Our proprietary telecoms and enterprise-powered consumer device graph also enables deterministic offline-to-online onboarding, including the activation and enrichment of client CRMs. Stringent quality audits, sophisticated methodologies and state-of-the-art technology ensure our data has proven six times more accurate than current market benchmarks, solving a fundamental quality problem in the industry.

Founded in Berlin in September 2014, zeotap today has offices in New York, London, Paris, Madrid, Milan, Bengaluru and Mumbai and counts all major media agencies and many global brands as its clients.

Responsibilities
You will use machine learning, NLP, data mining and statistical techniques to develop innovative, scalable solutions for business problems
You will build scalable data pipelines for machine learning
You will conduct statistical analysis on large amounts of data
You need to research and implement cutting-edge machine learning and statistical approaches
Requirements
You should have taken at least one full term course in NLP or ML
You should have strong problem-solving ability
Expertise in python programming skills

Sounds interesting? We’d be happy to receive your CV.

Looking forward to hearing back from you,

The zeotap HR Team"
Data Science Associate,"Pune, Maharashtra",ZS Associates,,Organic,"ZS is a professional services firm that works side by side with companies to help develop and deliver products that drive customer value and company results. From R&D to portfolio strategy, customer insights, marketing and sales strategy, operations and technology, we leverage our deep industry expertise and leading-edge analytics to create solutions that work in the real world. Our most valuable asset is our people—a fact that’s reflected in our values-driven organization in which new perspectives are integral and new ideas are celebrated. ZSers are passionately committed to helping companies and their customers thrive in industries ranging from healthcare and life sciences, to high-tech, financial services, travel and transportation, and beyond.
ZS’s India Capability & Expertise Center (CEC) houses more than 60% of ZS people across three offices in New Delhi, Pune and Bengaluru. Our teams work with colleagues across North America, Europe and East Asia to create and deliver real world solutions to the clients who drive our business. The CEC maintains standards of analytical, operational and technological excellence across our capability groups. Together, our collective knowledge enables each ZS team to deliver superior results to our clients.
ZS's Business Consulting group partners with clients to design and deliver solutions to help them tackle a broad range of business challenges. Our teams work on multiple projects simultaneously, leveraging advanced data analytics and problem-solving techniques. Our recommendations and solutions are based on rigorous research and analysis underpinned by deep expertise and thought leadership.

DATA SCIENCE ASSOCIATE
Data Science Associates (DSAs) design, develop and execute high-impact analytics solutions for large, complex, structured and unstructured data sets (including big data) to help clients make better fact-based decisions.

Develop advanced algorithms that solve problems of large dimensionality in a computationally efficient and statistically effective manner;
Execute statistical and data mining techniques (e.g. hypothesis testing, machine learning and retrieval processes) on large data sets to identify trends, figures and other relevant information;
Collaborate with clients and other ZS stakeholders to effectively integrate and communicate analysis findings;
Contribute to the evaluation of emerging datasets and technologies that may contribute to our analytical platform.

Qualifications:
Bachelor's or master's degree in Computer Science (or Statistics), and strong academic performance with analytic and quantitative cousework is required;
Knowledge of big data/advanced analytics concepts and algorithms (e.g. text mining, social listening, recommender systems, predictive modeling, etc.);
Knowledge of programming (e.g. Java/Python/R);
Exposure to tools/platforms (e.g. Hadoop eco system and database systems);
Excellent oral and written communication skills;
Strong attention to detail, with a research-focused mindset;
Excellent critical thinking and problem solving skills;
High motivation, good work ethic and maturity.
ZS is a global consulting firm; fluency in English is required, additional fluency in at least one European or Asian language is desirable.
Candidates must possess work authorization for their intended country of employment. An on-line application, including a cover letter expressing interest and a full set of transcripts (official or unofficial), is required to be considered.
ZS offers a competitive compensation package with salary and bonus incentives, plus an attractive benefits package.

NO AGENCY CALLS, PLEASE.
Connect with ZS in India on social media:
Like ZS in India on Facebook
Follow ZS in India on Twitter and Instagram
Follow ZS on LinkedIn for more job opportunities
Subscribe to the ZS in India YouTube channel
Explore the Life at ZS blog
ZS has been recognized globally for its expertise in consulting and its flexible work environment. View ZS’s accolades."
            ML/Data Science,"Baner, Pune, Maharashtra",GSN solutions pvt ltd,,Organic,"Job Summary
Position- ML/Data Science
Experience Required- 3 - 5 years
Location- Pune
Job Summary-
Requirement gathering from client & suggesting analytical solutions/approach
Data Extraction from EDW/Big Data Platform, Dataset Preparation (creation of base data, aggregation, transformation), EDA, Data visualization
Statistical model (predictive & prescriptive) development on R Studio using various statistical & machine learning techniques/algorithms
Test/train the model, Improve Model accuracy, Monitor model performance
Prepare client consumable presentations with actionable insights for data driven decision making
Collaborate with Data Architects/Database programmers
Make client presentations & engage with clients in joint problem solving Technical Skills: [Hands on exposure with R, SQL, MS Excel]
Hands-on expertise in R. Practical work exposure of machine learning model development on R, Python · SQL - Queries, sub-queries, Joins, case statement, pivoting, Group BY & Having Clause · Statistical model development
Regression Models – Linear & Logistic o Customer profiling, segmentation & Clustering (KMeans, hierarchical)
Decision Tree & Random Forest
Time Series forecasting
Neural Network & Bayesian Network
Factor Analysis/Principal Component
Advanced algorithms like XGBoost, KNN, SVM etc. (Good to have)
Job Type: Full-time
Experience:
work: 2 years (Preferred)"
Data Science Internship,"Pune, Maharashtra",Aera Software Technology India Private Limited,,Organic,"About the company:
At Aera Technology, we apply Internet scale technology to the challenges facing enterprise businesses. Think of the self-driving car: connected, always-on, thinking, and autonomous. Our mission is to enable companies in the same way.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Working on NLP product with guidance from senior data scientists and product managers 2. Working on data modeling, EDA, data cleaning & manipulation 3. Understanding the platform, work on creating processes and applications 4. Working with product and customer teams
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 3rd Jul'19 and 2nd Aug'19
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 1
Categories: Data Science"
Data Scientist,"Pune, Maharashtra",Honeywell,,Organic,"Join a team recognized for leadership, innovation and diversity
Artificial Intelligence consultant:
Design Machine learning models from multiple source application databases. Advanced knowledge in model evaluation, performance and tuning, scalability of scientific techniques and establishing decision strategies.
Experience
At least 3 years’ of relevant experience designing and implementing statistical analysis using tools like R, Python, Azure machine Learning studio
Write algorithms to extract information from a large data set
Should able to develop model for customer use cases and improve continuously by applying different techniques
Excellent understanding of machine learning algorithms such as Logistic Regression, Decision Tree, KNN,K- Means, SVM, Random Forest.
Machine Learning techniques like Clustering, Anomaly detection, Classification, Regression
Understanding and experience in the field of AI, Deep Learning and related technologies along with predictive modeling, and pattern recognition
Write complex SQL queries and able to write stored procedures
Experience using and adapting to new technologies
Demonstrated ability to think strategically about business process and technical challenges
At Least BS in Computer Science
Additional Information
Category: Engineering
Location: 56 & 57 Hadapsar Industrial Estate, Pune, MAHARASHTRA 411013 IND
Exempt"
Data Scientist,"Pune, Maharashtra",Right Steps Consultancy,,Organic,"Location Pune, India – Full Time
…
Position Expectations
Our Data Science & Machine Learning team is looking for a hands-on data scientist who can independently build statistical & mathematical models and can design & develop performant algorithms of the highest quality. Need to have an aspiration to become an exceptional data scientist with a passion for learning new technologies and high inclination towards research.
Responsibilities
You would be responsible for managing, developing, maintaining industry specific analytical models
The role would involve conducting research and prototyping innovations (new product ideas) along with data and requirements gathering.
The role would also involve testing various machine learning and analytical tools to build prototypes and production-grade systems. Familiarity with big data technologies and distributed computing concepts will be an advantage.
Qualification & Experience
Knowledge of designing & developing analytical solutions (Statistical & Machine Learning) for complex business problems. Below qualities are desired
Technical Graduates
Understanding of concepts and algorithms used in design of experiments
Understanding of R or Python’s data science stack
Understanding of business statistical/ML predictive techniques such as Regression, ANN, Bayesian methods, Decision Trees, SVM etc.
Understanding of NLP and related areas.
Thorough understanding of RDBMS,NoSQL and data management concepts , fluency in SQL scripting
Understanding of cloud computing platforms (AWS/ IBM Watson/ Google Analytics/ MS Azure)
Management Graduates
Domain knowledge in Finance (Corporate/Retail/Investment Banking) and/or Operations (Retail/ SCM/Logistics) and/or Marketing
Good understanding of Business Statistics
Knowledge of IT systems & applications in your area of expertise
General Requirements
Ability to formulate a problem statement and implement analytical solutions by understanding data and problem statement
Passionate about solving problems, quality and learning new technologies
Good communication skills
A flexibility required in terms of performing different types of responsibilities from a start-up perspective
Strong sense of team work, ownership, and accountability
Education
B.E/ B.Tech./M. Tech/ MBA in any field with significant knowledge in one or more of the following : Statistics, Mathematics, Machine Learning, Economics, Finance or Marketing."
