Title,Location,Company,Salary,Sponsored,Description
"Senior Software Engineer – Trading and Analytics - Pune, Ind...","Pune, Maharashtra",Bloomberg,None,Sponsored,"Every day, our systems analyse, process, and execute trading on trillions of data points. As a result, the biggest players in the financial industry depend on our 500 enterprise applications to manage their portfolios, execute their trades and analyse the markets. As engineers, we're building the applications our clients rely on to not just stay informed, but stay ahead of the market. The applications and infrastructure we build embody the speed, agility and financial data that make Bloomberg the go-to for financial professionals across the globe.

We'll trust you to:
Take responsibility for the full software development life-cycle, from understanding the needs of the business through to coding, deployment and maintenance. Your work will be highly visible, making you highly accountable
Enjoy solving highly complex problems while understanding the scope and impact of your work
Be quick, resourceful, flexible, and an excellent collaborator. You will balance the best of technical and product knowledge to craft unsurpassed product solutions for our customers
Engage with the wider community – from Inner Source to Open Source, you're someone who likes to collaborate
You'll need to have:
Minimum of 3+ years demonstrated experience programming in C++
An aptitude for analytical problem solving
Exposure to all phases of the software development life cycle
A degree in computer science, computer engineering, or related is required
We'd love to see:
Experience with other object-oriented programming languages
Experience with multithreading
Familiarity with SQL, Python and JavaScript
Experience with high volume, high availability distributed systems
An interest in the financial markets
If this sounds like you:
Apply if you think we're a good match. We'll get in touch to let you know what the next steps are.
Other Resources:
Olivia Meets Chelsea Ohh, Software Engineer Team Lead at Bloomberg:https://www.youtube.com/watch?v=tmatgY7wGBE&feature=youtu.be
Check out Bloomberg Engineering -> www.bloomberg.com/engineering
Read about the unique problems we're solving -> TechAtBloomberg.com
See how Bloomberg's leading the way toward a sustainable future ->https://www.bloomberg.com/impact
Why Bloomberg:
Bloomberg is a financial technology company. Our technology drives the world's leading financial market participants. Our strength – delivering data, news and analytics through innovative technology, quickly and accurately – is at the core of the Bloomberg Professional service, which provides real time financial information to more than 310,000 subscribers globally. Bloomberg has one of the largest private networks in the world, and we process billions and billions of data from all over the globe.
Seehttps://www.bloomberg.com/careers/technology/engineering/ to learn more about our Engineering culture.
Bloomberg is an equal opportunities employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Bloomberg is a disability inclusive employer. Please let us know if you require any adjustments to be made for the recruitment process by emailing access2@bloomberg.net."
Data Scientist,"Bengaluru, Karnataka",Akamai,None,Sponsored,"If you have a deep passion for data and security, love handling massive data sets, and get excited from solving hard problems, Akamai is the place for you. We are seeking a highly motivated Threat Operations Analyst who will work with Engineering and Product Management teams to quickly resolve highly technical, complex issues, and advocate for real-world customer use cases, features, and functionality. You will apply your practical analytical skills and your experience with statistical analysis to derive actionable insights from large volumes of data.
Join a fast-paced team in Akamai’s Security Unit charged with protecting the largest brands against the unpredictable landscape of evolving botnets and malware. Bad actors might build massive botnets or new automated attack systems; you’ll help dismantle and cripple them in real, internet time.

About the Team

The web security team is focused on leveraging Akamai's core strengths of its highly distributed cloud-based platform that already serves up to 30% of the traffic on the web and the massive amount of HTTP data it has access to as a result to define industry leading web security products that provide rapid visibility and control for protection against constantly changing attack profiles.

Responsibilities

Investigate the most sophisticated bots from across the Akamai’s customer base
Tuning detection algorithms for best fit for a particular customer traffic pattern.
On-going monitoring and measurement of the effectiveness of bot detection algorithms
Build tools for automated analysis
Keep abreast of current malware, botnets, or other automated agent trends and provide insights for further product enhancements

Required Education and Experience:

BS or MS in Computer Science, Applied Math, Statistics, Data Science or relevant subject.
Overall of 6+ years of expereince.
3 years experience in Data analysis
3 years experience in Python programming
3 years experience in SQL.
3 years experience working on Unix platform
2 years experience with various open source data analytic packages such as Pandas, numPy, Matplotlib, etc

Desired Qualifications:

Experience presenting complex technical information, succinctly, to technical and business audiences.
Data visualization skills to translate complex models and analysis results into layman terms
Experience, familiarity and ease with handling large, messy data sets. Prior experience with AWS Athena is a plus, but not required.
Experience in Javascript debugging.
Understanding of Proxies, DNS, HTTP protocol, Browser Rendering engines.
Familiarity with AWS and Big Data Technologies like EMR or Spark is a plus, but not required.
Bot detection experience is a plus
Interest in Machine Learning, specifically anomaly detection and data mining
Interest in Web Application security"
Sr Data Analyst,"Bengaluru, Karnataka",TARGET,None,Sponsored,"Description:
About this Opportunity
The Data Science & Analytics team designs and creates innovative solutions for a variety of applications, platforms and environments. Data Science & Analytics not only gives Target a competitive advantage in the marketplace, but also enhances the guest experience through the smart use of data in the retail industry
Our Senior Data Analyst researches data assets, applies various technologies to these assets and develops metrics, reports, and statistics. They are experts in sourcing data and providing the highest quality data for their business domain through the tools. Senior data analyst spend about 50% of their time advancing the development of metrics, reports and analysis into integrated dashboards. Through the deep understanding of their users and the data they consult on statistical analysis as well as contribute to measuring the key business outcomes as tests are applied. By translating that data into clear stories and insights data analysts help the business take action. They also play an active role with engineers and product owners ensuring the critical data is available and reliable in the proper platforms with clear SLAs. As a Sr Data Analyst, you'll take the lead in:
Actively exploring data and sourcing it from Teradata or Hadoop for specific analytical use cases. This includes researching data, perform joins on proper elements and create a final data asset to be consumed by analysts and users.
Joining and creating measurable insights from the data to be shared
Developing metrics, reports, and statistics
Documenting calculations, code, and adhering to data management principles
Validating and testing data assets of others in the form of peer review
Exploring statistical analysis using R or Python that could be applied to the data for providing insights
Performing descriptive statistics including mean, variance, median, correlation
Train and communicate output to users to gather feedback
Applies insights and testing in partnership with business users
Integrate tests and feedback on data assets to inform engineers on ways we can improve value of our data.
Perform analysis on business variables and identify tolerances/rates that are considered statistically significant.
Identifies data assets that can be integrated into dashboards and builds those based on user stories/personas
Requirements
BS degree or MS degree in Computer Science, Applied Mathematics, Physics, Statistics or area of study related to data sciences and data mining
Good working knowledge of SQL
Ability to work with technical and business-oriented teams
Worked on projects to build Big Data solutions using Hadoop and/or NoSQL technology
Ability to work with non-technical resources on the team to translate data needs into Big Data solutions using the appropriate tools
Understand application/software development and design in Agile methodology.
Collaborative personality, able to engage in interactive discussions with the rest of the team
Inquisitive on Big Data technology; current on new ideas and analytical tools like R, Python, Scala
Good understanding of the Hadoop ecosystem and low level constructs
Understanding of statistics
Benefits
Eligible team members will receive market competitive package including competitive pay, health, accidental and life insurance coverage, gratuity and provident fund, training and development and other perks and benefits. Target is an Equal Employment Opportunity Employer and is a drug-free workplace.
About Target®
Expect the Best. At Target, we have a vision: to become the best - the best culture and brand, the best place for growth and the company with the best reputation. We offer an inclusive, collaborative and energetic work environment that rewards those who perform. We deliver engaging, innovative and on-trend experiences for our team members and our guests. We invest in our team members' futures by developing leaders and providing a breadth of opportunities for professional development. It takes the best to become the best, and we are committed to building a team that does the right thing for our guests, shareholders, team members and communities.
Minneapolis-based Target Corporation serves guests at stores nationwide and at Target.com. Target is committed to providing a fun and convenient shopping experience with access to unique and highly differentiated products at affordable prices. Since 1946, the corporation has given 5 percent of its income through community grants and programs like Take Charge of Education®.

Qualifications:"
Data Entry Operator,"Pune, Maharashtra",KOSH EDUTECH PVT LTD,"₹8,000 - ₹12,000 a month",Organic,"Job Summary
We are hiring Data Entry Executive for typing of Science Stream Material of 11th and 12th Science. Typing Speed should be 50 WPM.
Experience in science typing material in MS Office 2007 and above using equations will be added advantage
Responsibilities and Duties
Key Skills : Data Typing, MS Office
Required Experience, Skills and Qualifications
Education - Any Graduate
Job Type: Full-time
Salary: ₹8,000.00 to ₹12,000.00 /month
Experience:
excel: 1 year (Required)
work: 1 year (Preferred)
MS Office: 1 year (Required)
Education:
Secondary(10th Pass) (Preferred)"
"Data Scientist / Developer – Healthcare, Genomics","Guindy, Chennai, Tamil Nadu",Kyvor Genomics,"₹4,00,000 - ₹9,00,000 a year",Organic,"Job Summary
The Data Scientist / Developer along with the IT team develops innovative heath analytics system based on machine learning approaches by integrating medical information and genomics data.
Responsibilities and Duties
Big Data innovative health analytics. Provide health and biological insight based on machine learning approaches in integration of medical information, genomics and behavioural data.
Apply cloud compute based real time queries of structured and unstructured data. Speed and accuracy optimization.
Big Data technologies - Hadoop, Spark
Designing and developing algorithms of data analysis and visualization solutions.
High throughput data processing, mining and curation, including detailed analysis, standardization and mapping of longitudinal phenotyping data and ontologies.
Increase internal and external adoption of advanced data analytics solutions and dashboards.
Identify new research opportunities, and develop innovative technology solutions to address multi-dimensional research questions.
Familiarity with genomics technologies and analysis methods as well as facility with scripting or automated tools to prepare large data sets
Required Experience, Skills and Qualifications
Experienced and fluent with statistical programming language R, PRocessing.js, Python, and others for data extraction, analysis and visualization (mandatory)
Advance degree in data science, statistics, computer science or related fields.
Exposure to healthcare, genomics and bioinformatics domains and its data types are a plus
Text Analytics using NLP
Experience with at least one machine learning platform such as TensorFlow, Caffe, Theano, CUDA, MXNet.
Experience with the implementation of text mining algorithms on structure and unstructured data.
Database - NoSQL such as MongoDB, MySQL, PostgreSQL
Data curation and data integrity
Strong critical and computational/ analytical skills. Should be familiar with SQL and relational databases. Knowledge of additional databases, RDF, and Linked Data approaches would be a strong advantage.
Machine learning algorithms and neural networks.
Fluency in writing APIs
Solid foundation of data structures, standardization and algorithms development.
Strong communication and global collaborations skills.
Peer reviewed publications in the domain of data science and bioinformatics are a plus
Benefits
All benefits as per company policies
Job Type: Full-time
Salary: ₹400,000.00 to ₹900,000.00 /year"
Data Science Counsellor,"Hyderabad, Telangana",Metasoft Solutions Pvt. Ltd,"₹23,000 a month",Organic,"Job Summary
**
Greetings from METASOFT SOLUTIONS PVT. LTD.
We are looking for young and dynamic Women Career Counselors with 2 – 6* years* of experience in career counseling (Preferably DATA Science , Big Data, Data Analytics)
**
Responsibilities and Duties
Desired candidate Profile & Responsibilities:
Converting potential enquiries into admissions.
Must have excellent communication and convincing skills.
Experience in Counseling students about DATA Science courses.
Handling the centre administration and up keeping.
Follow up with existing and new students ; IT Professionals through emails and calls.
Maintaining the batch file and Log file for faculty and students.
Must have Confident and Pleasant Personality
Must have Sales Driven Attitude
Solving telephonic queries.
Making feedback calls.
Assure smooth functioning in the centre.
Taking care of data distribution, MIS daily and monthly report.
Willingness to grow within the segment & lead in future
Key Skills
Student Counselling,, Course counselling , Career councelling
Required Experience and Qualifications
B.Tech /MBA Qualified preferred.
2-6 years experience required
Excellent communication skills
Confident enough to handle students queries.
Good convening skills
Benefits
salary - upto 22000 pm
Job Type: Full-time
Salary: ₹0.00 to ₹23,000.00 /month
Experience:
work: 2 years (Preferred)
Education:
Bachelor's (Preferred)"
Junior Data Scientist,India,"The QED Group, LLC",None,Organic,"Overview
QED is a global consulting firm with more than 20 years of experience providing data-driven and insightful solutions in over 90 countries. We are passionate about transforming lives through knowledge-based solutions. Leveraging deep expertise in monitoring, evaluation, global health, and learning, we help our clients collect, analyze, visualize, and ultimately use data in more effective ways. Our work maximizes results through the use of cutting-edge technologies and innovation, organizational development, and evidence-based decision-making.

QED India is looking for a Junior Data Scientist who brings an understanding of human centered design principles & communicate and convey information to non- technical audiences. The Data Scientist will work as part of a larger Data Visualization and Analytics team across practice areas and projects.
Responsibilities
Retrieve, prepare, and process a rich data variety of data sources such as monitoring and evaluation reports, government proposals and regulations, contractual documents, social media, news, census data, internal/external documents, emails, financial data, and operational data
Analyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine learning, data mining, econometrics, and operations research
Recommend, establish and utilize a diverse array of technologies and tools as needed, to deliver insights, such as R, SAS, Python, Spark, Hadoop, Power BI, Qlikview, d3.js or Tableau
Translate advanced business analytics problems into technical approaches that yield actionable recommendations, in diverse domains such as monitoring and evaluation, knowledge management and learning, sustainable investing, risk management, internal BI, product development, marketing research, and public policy; communicate results and educate others through insightful visualizations, reports and presentations
Perform exploratory data analysis, generate and test working hypotheses, and uncover interesting trends and relationships
Perform statistical natural language processing to mine unstructured data, using methods such as document clustering, topic analysis, named entity recognition, document classification, and sentiment analysis
Work with globally distributed cross functional teams and multiple stakeholders
Other duties as assigned
Qualifications
Master’s degree from an accredited college/university in Computer Science, Statistics, Mathematics, Engineering, Econometrics, or related fields, with 5-8 years of relevant experience and strong knowledge in at least one of the following fields: data mining, machine learning, statistics, operations research, econometrics, natural language processing, and/or information retrieval
Ability to work with clients to assess needs, provide assistance, and resolve problems; using excellent problem-solving skills and verbal/written communication to non-technical audiences
Deep experience in data visualization using different approaches and techniques.
Experience in extracting, cleaning, preparing, and modeling data; command-line scripting, data structures, and algorithms
Proficiency in analysis packages (e.g. R, SAS, Matlab) and programming languages (e.g. Python, Ruby, Java, Scala)
Ability to translate engagement objectives to a project plan with milestones, and resource/technology requirements, and teach, lead, and manage projects to successful execution
Social science background/experience an added plus
Experience of working and analysing geo-spatial data (GIS) using QGIS/ArcGIS (or, similar tool) will be an added advantage
How to Apply
To apply for this position please follow the following steps:
Complete the online application.
Attach your resume.
Click on the link: Biodata AID1420-17, fill out the form, sign it, and attach/upload it to your application. You may also include other documents such as cover letter and/or a work sample.
Submit your application, resume, completed biodata, and any additional documents.
Please note that applications submitted by other means; or without resume and/or biodata will not be considered.
Only finalists will be contacted. No phone calls please.

Reasonable accommodation requests will be considered on a case-by-case basis. The QED Group, LLC is an Equal Opportunity Employer. Women and Minorities are encouraged to apply. AA//V/D."
Science Trainer (Program Implementation Assocaite),"Pune, Maharashtra",Stem Learning,"₹15,000 - ₹18,000 a month",Organic,"Job Summary
STEM Learning is looking for Young, Dynamic Self-motivated and Science Graduates who has zeal to do Something for the Society, Something for the Education and be an active Change Maker who will be a part of our Operations Team
Responsibilities and Duties
Training of Teachers
Knowledge sharing and Hand Holding.
Content Development
Planning and Conducting Demonstrations
Maintenance of MSC Models.
Encouraging Teachers to change pedagogy.
Encouraging two way Communication with stakeholders.
School identification and creating MIS Report as per corporate requirement.
Effectively obtaining Permission from education officer and getting school list of government and government aided schools.
Emphasize on making average school to a model school
Impact Assessment(Analysis, program implementation and documentation)
Perform other duties as assigned time to time
Receiving request letter from schools
Ability to handle Corporate’s requirements.
Report Generation
Inculcation ownership amongst teachers
Talent Recognition and documentation(Success stories)
Qualifications and Skills
Graduate in Science (Freshers are welcome with a zeal for training)
He/she should have a profound knowledge in the field of science
Minimum 1-2 yrs of proven hands on Teaching experience in Marathi/Hindi and English language
Proficient in MS Excel, Word etc.
Fluent in Marathi, Hindi and English
Excellent communication and powerpoint presentation skills in Marathi, English
Should have experience of working with learning and teaching aids.
To identify and take appropriate action on issues arising from data, systems and reports
Willingness to travel PAN India
Contact - HR Manager - 8422938977
Job Type: Full-time
Salary: ₹15,000.00 to ₹18,000.00 /month
Experience:
work: 1 year (Required)
Teaching: 1 year (Required)
Education:
Bachelor's (Required)
Language:
English, Hindi and Marathi (Required)
Required travel:
75% (Required)"
Data Scientist,"Bengaluru, Karnataka",Saksoft,None,Organic,"We are looking for a Data Scientist who will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with products / applications.

Responsibilities
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Creating automated anomaly detection systems and constant tracking of its performance
Skills and Qualifications
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
Good applied statistics skills, such as Distributions, Statistical Testing, Regression, Time Series Forecasting, Clustering, Decision Tree etc.
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc. Excellence in at least one of these is highly desirable
Good Python scripting and SAS/R programming skills
Good understanding on the current happenings in the analytics industry such as deep learning or NLP.
Exposure to data visualisation tools, such as SAS VA, Tableau/D3.js, PowerBI etc.
Proficiency in using query languages such as SQL, Hive, Pig
Experience with NoSQL databases, such as MongoDB / Cassandra / HBase
Data-oriented personality
Good communication skills"
SAS Data scientist,"Mumbai, Maharashtra",Lericon Informatics Pvt. Ltd.,None,Organic,"Job Summary
Lericon Informatics Pvt. Ltd. is looking to hire a Consultant in Analytics team to implement analytics projects like data mining, forecasting, predictive models, social media analytics and contextual analytics.
SAS Data Scientist
**
Primary Skills (Must)
* Overall 2-4 years of analytics experience, preferably across multiple domains (marketing, sales, supply chain) or multiple industries (utilities, insurance, financial services, retail, life sciences)
Experience in utilizing statistical tools (e.g., SAS, SPSS, R Programming, SQL)
Strong experience in advanced statistics and analytics including segmentation, modeling, regression, forecasting etc.
Strong business understanding of at least one domain/industry
Exposure in working directly with clients to conceptualize, design and deliver high-quality solutions and insightful analysis on a variety of projects ranging in both complexity and scope
Excellent communications skills with respect to translating business needs into a mathematical/data analysis approach and translating analysis results back into business terms.
Ability to synthesize and clearly communicate highly complex findings that focus on the critical issues and provide actionable opportunities.
Ability to work in a cross cultural environment
Proven project successes, including balancing multiple projects and differing project priorities.
Desired Previous consulting analytics experience preferred
Work independently on complex analytics projects, specifically on projects involving building and implementing statistical models
Ability to understand business needs and apply analytical concepts to provide business solutions
Oversee execution and delivery of key project milestones.
Accountable for clear requirements documentation, analysis/development plans, project consulting and troubleshooting, the on time delivery of projects, timely communication to clients, and quality of project deliverable s.
Project management tasks include (but are not limited to): defining project scope, assisting with requirements collection, providing analysis/development plans, working closely with the client both onshore and offshore during execution of project, and ensuring on-time delivery of and quality of projects.
Establish and maintain clear communication with the team manager regarding project scope, timelines, issue resolution, and deliverable s.
Ability to adapt to analytics requirements across multiple functions (Marketing, Sales, Supply Chain) and multiple industries (Utilities, Insurance, Financial Services, Life Sciences etc.)
Ability to work in a multi-cultural environment and independently handle clients across geographies
Qualifications and Skills
Minimum Education: Post Graduation
Experience: 5-8 years
Job Type: Full-time
Experience:
Analytics: 3 years (Preferred)
Data scientist: 5 years (Preferred)
Education:
Master's (Preferred)
Required travel:
50% (Preferred)"
