Title,Location,Company,Salary,Sponsored,Description
Director - Machine learning,"Bengaluru, Karnataka",Zycus,None,Sponsored,"Job Summary
About Zycus-
Headquartered in Princeton, U.S. in 1998, Zycus has grown every day to be established as an organization which now is a leading global provider of complete Source-to-Pay suite of procurement performance solutions.
We develop cloud-based (SaaS) Source-to-Pay solutions for large global enterprises, and have successfully deployed about 200 solutions to over 1000 Global clients. We are proud to have as our clients, some of the best-of- breed companies across verticals like Manufacturing, Automotives, Banking and Finance, Oil and Gas, Food Processing, Electronics, Telecommunications, Chemicals, Health and Pharma, Education and more.
With a team of 1000+employees, we are present in India with 3 development centers at Bengaluru, Mumbai & Pune and offices in the U.S., U.K., Australia, Dubai, Netherlands and Singapore.
Know more about the LEADER of: Gartner’s 2013, 2015 & 2017 Magic Quadrant for Strategic Sourcing Application Suites and The Forrester Wave™: eProcurement, Q2 2017
We are in process of launching Merlin A.I. Studio™.*
The artificial intelligence (AI)-based platform will allow procurement teams to to build and deploy bots across the source-to-pay process.
The bots will be used by firms leveraging more than 1,100 APIs from Zycus’ solution suite.
“By deploying the intelligent bots from Merlin A.I. Studio™, procurement can put themselves in cruise control mode as the bots work towards accomplishing tasks with zero human intervention,” The Fortune 500-serving firm explained in its press release
“Be it running an RFI event, discovering contract risks, negotiating with suppliers or transnational procurement; all one needs to do is launch the bot and see the magic unfold.”
“It will empower procurement to transform their routine, repetitive & mundane procurement tasks, so that time, effort & resources can be optimized towards more strategic initiatives.”
So what competency are we looking out from Market??*
We are looking for the one who is creating, implementing AI solution by himself/herself and not just executed based on existing solutions – for example we need those high quality professionals who create IBM WATSON kind of analytical AI product not those who has developed and implement some bots/AI application using IBM WATSON.*
Requirement :
We are especially looking for applicants with a strong background in Analytics and Data mining (Web, Social and Big data), Machine Learning and Pattern Recognition, Natural Language Processing and Computational Linguistics, Statistical Modelling and Inferencing, Information Retrieval, Large Scale Distributed Systems and Cloud Computing, Econometrics and Quantitative Marketing, Applied Game Theory and Mechanism Design, Operations Research and Optimization, Human Computer Interaction and Information Visualization. Applicants with a background in other quantitative areas are also encouraged to apply. If you are passionate about research and developing innovative technologies of interest to Zycus and the research community at large, the BigData Experience Lab may be the right place for you.
All successful candidates are expected to dive deep into problem areas of Zycus’s interest and invent technology solutions to not only advance the current products, but also to generate new product options that can strategically advantage Zycus
Skills: *
Experience in predictive modelling and analysis, predictive software development
Strong Problem-solving ability
Good skills with Java or C++, Perl/Python (or similar scripting language)
Experience in using R, Matlab, or any other statistical software
Experience in mentoring junior team members, and guiding them on machine learning and data modelling applications
Strong communication and data presentation skills
Classification (logistic regression, svm, decision tree, random forest, neural network)
Regression (linear regression, decision tree, random forest, neural network)
Classical optimisation (gradient descent, newton rapshon, etc)
Graph theory (network analytics)
Heuristic optimisation (genetic algorithm, swarm theory)
Deep leaning (lstm, convolutional nn, recurrent nn)
**
*
Responsibilities and Duties
Director – Machine Learning will report in to Vice President Engineering & the roles & responsibilities are as below: *
Act as a technical thought leader in collaboration with the analytics leadership team, helping to set the strategy and standards for Machine Learning and advanced analytics
Work with senior leaders from all functions to explore opportunities for using advance analytics
Provide technical leadership, coaching, and mentoring to talented data scientists and analytics professionals
Guide data scientists in the use of advanced statistical, machine learning, and artificial intelligence methodologies
Guide the work of other Machine learning team members to provide support and assistance, while also ensuring quality.
Qualifications and Skills
Must Have: *
Total experience: 14+ years
The ideal candidate must have proven expertise in Artificial Intelligence* (including deep learning algorithms), Machine Learning and/or NLP*
The candidate must also have expertise in programming traditional machine learning algorithms, algorithm design & usage
Experience in AI & machine learning*
Programming expertise on Python or R
Preferred experience with large data sets & distributed computing in Hadoop ecosystem
Strong problem-solving skills
Fluency with databases
Overall candidate should be tech savvy with awareness to new technology development
Benefits
Along with a competitive compensation structure, Zycus believes in an open culture learning environment, where everyone gets a chance to share their ideas and deliver par excellence. Here's a sneak peek to our life at Zycus.*
Job Type: Full-time
Salary: ₹4,000,000.00 to ₹5,500,000.00 /year"
Infosys NIA - Machine Learning,"Bengaluru, Karnataka",Infosys,None,Sponsored,"Role Designation- Technology Lead

Responsibilities- •Overall 5 years or more of work experience in the area of machine learning and deep learning.,•Experience with Python and TensorFlow or PyTorch and familiarity with the techniques to get deployable quality results on images and text. ,•Programming in Python, Java and deploying and validating REST services on the cloud.,•Solving various kinds of Industrial problems that require Machine Learning with small and big data.,•Engineers are expected to apply state of the art algorithms and neural architectures to a variety of problems in various domains such as Financial Services, Energy, Manufacturing and Healthcare.,•Managers are expected to lead and provide direction to our diverse engineering talent.,•Responsible for delivering high-value next-generation products on aggressive deadlines and will be required to write high-quality, highly optimized/high-performance and maintainable code that your fellow developers love ,•Anchor in Proof of Concept developments and support opportunity identification and pursuit processes and evangelize Infosys brand ,•Collaborate with some of the best talent in the industry to create and implement innovative high-quality solutions, lead and participate in sales and pursuits focused on our clients' business needs ,•The role involves high end technology and hence would require to be proficient in coding

Technical and Professional Requirements- 6 years

Educational Requirements: BE
Service Line: Unit-Edgeverve Products and Platforms Un"
Consumer NBN Operations Manager,"Pune, Maharashtra",Telstra,None,Sponsored,"About Telstra
Telstra is Australia’s leading telecommunications and technology company, with operations in more than 20 countries, including in India where we’re building a new Innovation and Capability Centre (ICC) in Bangalore.
We’re combining innovation, automation and technology to solve the world’s biggest technological challenges in areas such as Internet of Things (IoT), 5G, Artificial Intelligence (AI), Machine Learning, and more.
Join us on this exciting journey, and together, we’ll reimagine the future.
Role with us
Own the delivery of Consumer and small business customer activations leading Telstra SMEs and Industry Partner staff across multiple offshore functions remotely and on-site.
Key Accountabilities
Leading a team of Operational leads to identify Operational gaps and patterns, execute troubleshooting exercises across the functional streams
Execute on a ‘Manage by Exception’ model, streamlining the connection experience with specialist groups, whilst maintaining a focus on improving the customer experience
Collaborate across the business to create a feedback loop to ensuring we are identifying areas of pain and leveraging relationships to improve process and customer experience
Driving cross functional efforts to meet Operational KPIs and assist with driving the Offshore Industry Partner achieve key deliverables.
Providing Key Operational input to shape the contractual obligations from a commercials stand point
Develop and maintain tracking and reporting frameworks
Identify, discuss and facilitate resolution of all issues, blockers and staff ideas with the industry partner and internal stakeholders to ensure a cycle of improvement, and development of agents is undertaken.
Identify and address any gaps in process or training
Lead the industry partners to deliver successful customer outcomes by way of meeting SLAs and KPIs.
Manage key blockers or dependencies with relevant stakeholders
Build and maintain solid, productive relationships with industry partners and other operational leads to ensure consistency and improvement across the entire NBN activation episode.
Engage in ongoing reviews of business and IT processes and systems to ensure the company’s evolving operational objectives are met
Guide and support our Industry Partners to achieve SLA performance, customer experience expectations and quality standards within budget.
Build highly effective relationships with your peers and all stakeholders
Maintain the business area Operating / Engagement Model, updating it as new situations arise
Accountable for the implementation of new processes & procedures. This may include a small scale, fully operational, implementation of a new process - to learn how to bring the change into complete readiness
Provide technological support in a specialised field through enhanced capabilities
Skills & Experience : 8 + yrs
Mass Market Operations Leadership Team, operational delivery leads, Activation Services (improvement, program, commercial)
project leads, process domains, IT, Sales Channels
Technical Descriptors
Relevant experience in Leading diverse teams
Relevant tertiary qualifications (e.g. business, commercial, management, procurement) coupled with 5 to 10 years demonstrated experience (i.e. considered a specialist in field)
Experience in driving operational improvement programs across third-party service providers, especially in India.
Experience delivering significant cost savings over the life of Partner contracts
Experience engaging and influencing senior stakeholders, both internal and external, to achieve business objectives
Commercial management experience and contribution to solving complex problems.
Proven ability to contribute to and inform strategy development within area of expertise
Demonstrated excellent written and verbal communication skills
Experience working in a complex, cross functional company such as Telstra
International BPO Experience
Customer engagement and relationship management
Why Join us
Our people in India will be at the forefront of technological change as they work collaboratively with, and learn from, world-class experts and have access to the latest training programs and insights for their field.
Alongside your work on leading edge projects, working with us means you'll have access to company perks and benefits that'll reward you for the great work you do. We’re growing, fast, and for you that means many exciting opportunities to develop your career with us at Telstra.
We’re committed to building a diverse and inclusive workforce. To enable everyone to participate, we’ve developed an ‘All Roles Flex’ policy to consider flexible ways of working for every role. To learn more, visit tel.st/allrolesflex"
Change-Senior Specialist,"Pune, Maharashtra",Telstra,None,Sponsored,"About Telstra
Telstra is Australia’s leading telecommunications and technology company, with operations in more than 20 countries, including in India where we’re building a new Innovation and Capability Centre (ICC) in Bangalore.
We’re combining innovation, automation and technology to solve the world’s biggest technological challenges in areas such as Internet of Things (IoT), 5G, Artificial Intelligence (AI), Machine Learning, and more.
Join us on this exciting journey, and together, we’ll reimagine the future
The Telstra SECs are located across India in various partner locations. These centers operate in hybrid mode along with the partner resources.
This role is for supporting the Enterprise business program running across the centers. This position will work closely with the Technology leads, Stream Manager, Partners, Business units, internal Telstra departments (SEC leads), and will be integral in moving business unit strategy forward.
Responsibilities:
Coordinate with Agile coach, Scrum Master and Tech Leads in identifying wins, messages and stories to be communicated with the teams in parallel to the engineering communications that the team would have with their leads.
Interact with the teams in SEC to bring people together, so we can build cohesive Telstra culture, spread the positiveness and motivating the team to take the lead in driving efficiency.
Interact with the teams to understand the user experience, bring out the positivity and share their story.
Bring together the comms across the geography and help the teams understand the big picture and reemphasize the purpose and the role that the team plays in the transformation journey.
Act as a stimulant in bringing about the enterprise wide change and help with smooth transition by projecting the benefits.
Assist the Engineering leads to document and support inter group presentation. There are often details asked in different formats, and it will help if those details can be shared in the format asked for.
Assist the engineering leads in managing the Metrics - Manage all aspects Engineering Metrics, KPI, capacity planning of SECs, create and generate periodic reports for various business and use case in India.
Work closely with the Digital Transformation in sharing the key achievements, important milestones and employee engagement activities from centers in India. This role will also help collate important communication from across all streams and ensure it reaches the teams in India.
Ensure the proper procedures/documentations are in place. Act as first line of escalation and arrange necessary support as and when clarification is required on local policies, procedures.
Documentation - Serve as the central point of contact for managing all requests for SEC requirements, contracts, exceptions, deficiencies and all the evidentiary documentation that goes along with it in the team’s SharePoint site.
Track timelines as needed for various initiatives within B2B and maintain trackers.
Work with the Engineering leads and the project coordinators to run employee engagement activities and Enterprise stream specific R&R.
Work closely with partner project manager and with ODC feature team leads to ensure smooth Joiner – Leaver process (on boarding of employees), asset management, timely submission of timesheet, completion of mandatory trainings, etc.

Skills Required :
Minimum 8 years professional work experience
3 - 4 years in Enterprise communication, brand building, Organizational Change Management and People engagement activities
3 - 4 years of Project Management experience in Agile (matrix) organizations preferably in a PM/PMO role
Excellent Communication and coordination skill
Strong program management, time management, conflict management, multi-tasking & analytical skills with Agile Scrum and IT infrastructure background.
Discreet and professional with good organizational skills
Articulate, express the thoughts in visual and vocabulary and Extreme attention to detail
Ability to remain calm under pressure
Familiar with Microsoft Office, SharePoint, Teams etc
We’re committed to building a diverse and inclusive workforce. To enable everyone to participate, we’ve developed an ‘All Roles Flex’ policy to consider flexible ways of working for every role. To learn more, visit our Telstra Careers Website: tel.st/allrolesflex"
Machine Learning Engineer,"Pune, Maharashtra",Emblaze Training & Services.,None,Organic,"Responsibilities and Duties
We are hiring Machine Learning Engineer position for Pune Location
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Outstanding analytical and problem-solving skills
Choosing the Training Data and Right Algorithms
Machine Learning Coding and Programming in Python
Machine Learning Model Training and Development
Design ML Model Architecture and Solution
Involve in Machine Learning Model Testing and Deployment
Experience on BIG DATA Platform (HADOOP, HDFS, HIVE, SQOOP etc )
Job Type: Full-time"
Machine Learning,"Pune, Maharashtra",Zensar Technologies,None,Organic,"Machine Learning - (0040426)
Description
Proficient in computer languages like Python, R and SQL, making use of the best frameworks for machine learning pipelines, data visualization, manipulation and transforming, models training and evaluation, and models deployment.
Experience with common feature engineering & Statistical techniques and machine learning algorithms for Supervised and Unsupervised Learning, like Regression, Classification, Clustering, Time Series
Ability to understand mathematical models and algorithms, and to implement them into running software for projects & able to explore big data.
Research and understand user behavior patterns, such as user engagement and segmentation, using machine learning models, to help test hypotheses.
Forecasting, anomalies detection, performance evaluation, risk analysis, preventive maintenance, proactive failure detection
Extract and analyze the large volume of data to find the hidden insights.
Design and implementation of machine learning models, metrics and application of feature engineering techniques applied to customer’s problems.
The engineering teams in the implementation of production-ready solutions involving machine learning.
Ability to provide creative and innovative approaches to problem solving
Ability to work independently and within a collaborative team environment
Business sense and consulting behavior to identify and breakdown problems.
Communicate and work with business subject matter experts.
Excellent Communication Skills.
Primary Location: India-Maharashtra-Pune
Job Posting: Jun 17, 2019
10 To 14"
Artificial Intelligence and Machine learning engineer,"Ahmedabad, Gujarat",JB Solutions,None,Organic,"Educational Qualification : B.E. / B.Tech / M. E./ M.tech in IT/CE

Experience in deploying / building a fast, distributed, and fault-tolerant Artificial Intelligence infrastructure.
Working experience with Python and associated libraries in Deep Learning/ Machine Learning Framework.
Research and implement appropriate Machine Learning algorithms and tools.
Development of web based algorithm for image processing.
knowledge of Computer Vision.
Adapt & learn new technologies as required.
Website : www.jbsolutions.in
Job Location : Ahmedabad
Years of Experience : 2 Yrs - 7 Yrs
Skills : Artificial Intelligence, Machine Learning, Deep Learning, AI, ML, NLP, Computer vision
Venue : 304 Shukan Business Center, Swastik Cross Road C G Road, Ahmedabad, Gujarat, 380009"
"Sr. Python Developer(Machine Learning Developer),Pune.","Pune, Maharashtra",Ideal Enterprises,"₹35,000 - ₹50,000 a month",Organic,"Machine Learning Developer/Recommendation System Engineer
Python
Requirements:
Proficiency with working on building Recommendation system is must
Proficiency with a deep learning framework such as Tensor Flow or Keras
Proficiency with Pythonand basic libraries for machine learning such as scikit-learn and pandas
Expertise in visualizing and manipulating big datasets
Understanding of data structures, data modeling and software architecture.
Familiarity with machine learning frameworks (like Keras or Py Torch) and libraries (like scikit-learn).
Deep knowledge of math, probability, statistics and algorithms.
Design machine learning systems.
Extend existing ML libraries and frameworks.
Proficient in natrual language prograamming.
Proficient in speech recognition.
Flask and Django framework.
Good To Have :
Data base - Mongodb and SQL
Redis is plus
Experience- For Senior level 1+ to 3 Years hands on, Junior level 6 Months and above
Job Type: Full-time
Salary: ₹35,000.00 to ₹50,000.00 /month
Experience:
work: 5 years (Preferred)
Python: 1 year (Preferred)
Education:
Master's (Preferred)"
Machine Learning Engineer,"Pune, Maharashtra",Helpshift,None,Organic,"Are you a backend engineer who wants to learn data science and machine learning? Then this is the role for you! We will train you to work on production AI projects at Helpshift. These AI projects help our customers scale their customer service through automating mundane work as well as assisting customer service agents in doing their work.

What you will continue to work on:
You will continue working on Python, APIs, databases, background jobs, Kafka topics, cloud storage (on AWS and Azure), etc.

What you will Learn:
We have a fabulous data scientist team who will coach you and introduce you into the world of data science and machine learning. We have excellent engineering teammates who will guide you in your work.

What you should expect:
The AI team is split between 2 offices - San Francisco and Pune, India. We have the broader engineering and product teams in the Pune office.
The AI team consists of 2 teams - data scientists (DS) and machine learning engineering (MLE). We are the MLE team.

Think of the MLE team's work as ""ML infrastructure"" + ""productionizing data science algorithms"". ML infrastructure work includes APIs, databases, background jobs, Kafka topics, cloud storage (on AWS and Azure), etc. Productionizing data science algorithms include taking the data scientists' prototypes and building a robust system that can go into production, and serve large-scale customers (think of the biggest gaming companies in the world, the biggest fintech companies in the world, and so on). You bring your programming skills and backend engineering skills, we will coach you on the rest.

We are small teams operating in a startup environment. Expect fast pace but regular working hours. We strive to deliver quality with speed. However, we will not sacrifice quality for speed.

We are transitioning to practice Agile iterations in developing software, ensuring a concrete deliverable at the end of every cycle.

How big is Helpshift:
Helpshift is installed on over 2 billion devices - roughly 1 out of every 3 smartphones in the world.
We serve over 820 million active users and ~7 million conversations every month.

Some more numbers:
165000 requests per second
50 ms response time
~400GB data transfer every hour
1000+ VMs deployed at peak

What we expect from You:
2+ years of medium / large scale server-side software development experience
Proficiency with Python language"
Machine Learning Engineer,"Pune, Maharashtra",LIFE AI,None,Organic,"Job Description
Responsibilities:
Develop production level code, leveraging tools for machine learning and rules based modeling
Working alongside Data Scientist and engineering team
Write APIs and dockerize machine learning models for production
Adapt machine learning libraries to exploit GPUs and distributed clusters
Minimum Qualifications:
BE degree in Computer Science or MS degree in Computer Science
2+ years of experience in machine learning, data mining, pattern recognition, data visualization
1+ years of experience in natural language processing and recommendation systems
Experience with Apache Spark, Hadoop/HBase is preferred
Advanced level knowledge of Python, SQL, JavaScript, PHP, Docker, Kubernetes
Knowledge of developing and debugging using Angular and Laravel frameworks
Understanding of tf learning is a plus
Experience with packages such as NumPy, SciPy, pandas, scikit-learn, dplyr, ggplot2, pytorch, gensim, tensorflow, keras, cuda
Preferred Qualifications:
Experience in Angular, Flask and Laravel frameworks, along with knowledge of machine learning and data science
Job Type: Full-time
Salary: ₹5,000,000.00 to ₹20,000,000.00 /year
Experience:
Machine Learning: 2 years (Required)
work: 2 years (Preferred)
Natural Language Processing: 1 year (Required)
Pattern Recognition: 1 year (Required)
Data Mining: 1 year (Required)
Data Visualization: 1 year (Required)
Recommendation system: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Location:
Pune, Maharashtra (Preferred)"
