Label,area_0,area_1,area_2,area_3,area_4
Parasitized,175.5,126,131,8902.5,0
Parasitized,222,9847.5,0,0,0
Parasitized,179.5,256.5,12413,0,0
Parasitized,18,187.5,9306.5,0,0
Parasitized,142.5,156.5,6669.5,0,0
Parasitized,138.5,11861.5,0,0,0
Parasitized,152,10117,0,0,0
Parasitized,71,108,15554,0,0
Parasitized,10340,0,0,0,0
Parasitized,121,14125,0,0,0
Parasitized,62,16.5,11089.5,0,0
Parasitized,20,11977.5,0,0,0
Parasitized,24,255.5,15,14765,0
Parasitized,323.5,10981,0,0,0
Parasitized,238.5,12020.5,0,0,0
Parasitized,169,180,15965,0,0
Parasitized,0,5.5,3210,8690,0
Parasitized,12119,0,0,0,0
Parasitized,298.5,14208,0,0,0
Parasitized,10270.5,0,0,0,0
Parasitized,322.5,12079.5,0,0,0
Parasitized,154.5,15882.5,0,0,0
Parasitized,5177,9470,0,0,0
Parasitized,20.5,13677,0,0,0
Parasitized,235,60,21.5,14438.5,0
Parasitized,12133,0,0,0,0
Parasitized,205,12621.5,0,0,0
Parasitized,86.5,21.5,11,31,279.5
Parasitized,10053,0,0,0,0
Parasitized,15512,0,0,0,0
Parasitized,246.5,11868.5,0,0,0
Parasitized,104,11844.5,0,0,0
Parasitized,2820.5,2.5,7099.5,0,0
Parasitized,50,48,15570.5,0,0
Parasitized,16.5,253,28.5,6575,0
Parasitized,192.5,14941.5,0,0,0
Parasitized,15,194,14111.5,0,0
Parasitized,62.5,41,44,55,32
Parasitized,2,89,12135.5,0,0
Parasitized,464.5,10744.5,0,0,0
Parasitized,316.5,299,10957,0,0
Parasitized,193,13735,0,0,0
Parasitized,8856.5,0,0,0,0
Parasitized,10,132,12.5,259.5,12990.5
Parasitized,256.5,5.5,18396,0,0
Parasitized,123.5,35.5,9967,0,0
Parasitized,21,7,39,10420,0
Parasitized,156,11394,0,0,0
Parasitized,261,10485,0,0,0
Parasitized,22.5,214.5,10747,0,0
Parasitized,45,132,8908.5,0,0
Parasitized,19.5,288,120,14772,0
Parasitized,33.5,15,130,13200.5,0
Parasitized,89,66.5,10638,0,0
Parasitized,46,112,13043,0,0
Parasitized,122,11143,0,0,0
Parasitized,80.5,22.5,18624.5,0,0
Parasitized,275.5,11070.5,0,0,0
Parasitized,399.5,72,8068.5,0,0
Parasitized,192,11128.5,0,0,0
Parasitized,222,14806.5,0,0,0
Parasitized,55.5,91.5,14267.5,0,0
Parasitized,11741,0,0,0,0
Parasitized,199.5,170.5,0,1801,25
Parasitized,2,108,63.5,77.5,11065
Parasitized,207.5,8008,0,0,0
Parasitized,290,11788,0,0,0
Parasitized,108,11369.5,0,0,0
Parasitized,16163,0,0,0,0
Parasitized,11153.5,0,0,0,0
Parasitized,73.5,110,13010,0,0
Parasitized,123,14173.5,0,0,0
Parasitized,114.5,10,92,210.5,16187
Parasitized,7897.5,0,0,0,0
Parasitized,74,20,10498.5,0,0
Parasitized,130,9646,0,0,0
Parasitized,9435.5,0,0,0,0
Parasitized,2,16256,0,0,0
Parasitized,1.5,1,0,48.5,0.5
Parasitized,508,11644,0,0,0
Parasitized,143,12297.5,0,0,0
Parasitized,225.5,15360.5,0,0,0
Parasitized,184.5,10297,0,0,0
Parasitized,98,8.5,13866,0,0
Parasitized,398.5,14069,0,0,0
Parasitized,152.5,11744,0,0,0
Parasitized,133.5,13391,0,0,0
Parasitized,1148.5,173.5,318.5,1275,1102.5
Parasitized,176,10926,0,0,0
Parasitized,77.5,35.5,13.5,132,2
Parasitized,80,163.5,9806.5,0,0
Parasitized,123,11718,0,0,0
Parasitized,52.5,23.5,10409,0,0
Parasitized,217,0,49,62,0
Parasitized,12250.5,0,0,0,0
Parasitized,161,43,9531,0,0
Parasitized,9958.5,0,0,0,0
Parasitized,113,11858.5,0,0,0
Parasitized,500,9490.5,0,0,0
Parasitized,866,12839,0,0,0
Parasitized,162,13843,0,0,0
Parasitized,8.5,136,19091,0,0
Parasitized,139.5,15859,0,0,0
Parasitized,177.5,46,10445.5,0,0
Parasitized,23,146,14346,0,0
Parasitized,142,15765.5,0,0,0
Parasitized,11252.5,0,0,0,0
Parasitized,62,12628.5,0,0,0
Parasitized,10619.5,0,0,0,0
Parasitized,273,10612,0,0,0
Parasitized,42.5,45,11480.5,0,0
Parasitized,630,9318,0,0,0
Parasitized,35.5,189,377,9640.5,0
Parasitized,107.5,10751.5,0,0,0
Parasitized,145.5,13306.5,0,0,0
Parasitized,155,14084.5,0,0,0
Parasitized,22,25.5,382,27.5,10555.5
Parasitized,99,72.5,16033,0,0
Parasitized,28.5,0,9695.5,0,0
Parasitized,189.5,13439.5,0,0,0
Parasitized,49.5,319.5,11895,0,0
Parasitized,97.5,7,15,119,199.5
Parasitized,145,12598.5,0,0,0
Parasitized,12052,0,0,0,0
Parasitized,2,197.5,15167.5,0,0
Parasitized,441.5,4887.5,10228.5,0,0
Parasitized,126,15994,0,0,0
Parasitized,190,12.5,9955.5,0,0
Parasitized,55,189,10191,0,0
Parasitized,135.5,14175.5,0,0,0
Parasitized,130,12.5,184.5,10031.5,0
Parasitized,76,43.5,57.5,15234.5,0
Parasitized,186,208,9054,0,0
Parasitized,82.5,22.5,15.5,92.5,11300
Parasitized,129,82.5,17241,0,0
Parasitized,7698,0,0,0,0
Parasitized,121,15501,0,0,0
Parasitized,40.5,184,14563,0,0
Parasitized,330,7,8280.5,0,0
Parasitized,101.5,14503.5,0,0,0
Parasitized,8123,0,0,0,0
Parasitized,8.5,292,10632,0,0
Parasitized,121.5,11212.5,0,0,0
Parasitized,64.5,220.5,9258.5,0,0
Parasitized,46,58,14301,0,0
Parasitized,114.5,14842,0,0,0
Parasitized,123,20.5,37.5,5,2773.5
Parasitized,261,11984.5,0,0,0
Parasitized,31,200,11465.5,0,0
Parasitized,85.5,2087.5,0,0,0
Parasitized,236.5,94.5,5.5,126.5,43.5
Parasitized,106,8957,0,0,0
Parasitized,126.5,61,16089.5,0,0
Parasitized,11468,0,0,0,0
Parasitized,27.5,79,8593,0,0
Parasitized,11431,0,0,0,0
Parasitized,108.5,12486.5,0,0,0
Parasitized,19217,0,0,0,0
Parasitized,182.5,14,14503.5,0,0
Parasitized,70,144,15899.5,0,0
Parasitized,251.5,9644.5,0,0,0
Parasitized,73.5,101.5,0,140,17.5
Parasitized,24,93.5,47.5,0,0
Parasitized,141,15097,0,0,0
Parasitized,1.5,1.5,0.5,11.5,4.5
Parasitized,115,13133,0,0,0
Parasitized,279.5,10006.5,0,0,0
Parasitized,179.5,10750,0,0,0
Parasitized,70.5,83.5,14080.5,0,0
Parasitized,157,12825.5,0,0,0
Parasitized,196.5,8.5,60.5,13.5,10
Parasitized,117,6,66,10280,0
Parasitized,176,9544.5,0,0,0
Parasitized,136,11620,0,0,0
Parasitized,168,161,24,13425.5,0
Parasitized,32,75,408,50,10219.5
Parasitized,134,15168,0,0,0
Parasitized,89.5,13788,0,0,0
Parasitized,7143,0,0,0,0
Parasitized,93.5,17043.5,0,0,0
Parasitized,160.5,105.5,2,14535.5,0
Parasitized,50,95.5,14312.5,0,0
Parasitized,90.5,4,48,42.5,443.5
Parasitized,25.5,31,2,10865.5,0
Parasitized,339,13603.5,0,0,0
Parasitized,464,6961,9153,0,0
Parasitized,4,16.5,13778,0,0
Parasitized,218,28.5,14318.5,0,0
Parasitized,50,12904.5,0,0,0
Parasitized,20,8.5,144.5,11,86
Parasitized,181,8943.5,0,0,0
Parasitized,70.5,16629,0,0,0
Parasitized,129.5,13789.5,0,0,0
Parasitized,347,7,16.5,13038.5,0
Parasitized,14440,0,0,0,0
Parasitized,85.5,14379.5,0,0,0
Parasitized,225,14264,0,0,0
Parasitized,0,2.5,19.5,5.5,1144.5
Parasitized,191.5,11904,0,0,0
Parasitized,115,128.5,14717.5,0,0
Parasitized,229.5,12426,0,0,0
Parasitized,171.5,13392.5,0,0,0
Parasitized,148.5,13563,0,0,0
Parasitized,37,166.5,7960.5,0,0
Parasitized,145,11958,0,0,0
Parasitized,138.5,397.5,14609,0,0
Parasitized,148,76.5,14716,0,0
Parasitized,373.5,13335.5,0,0,0
Parasitized,308,10804,0,0,0
Parasitized,8917.5,0,0,0,0
Parasitized,34,139,11906.5,0,0
Parasitized,178,171.5,368,22.5,4726.5
Parasitized,113.5,21271,0,0,0
Parasitized,116.5,80,16852,0,0
Parasitized,212,40,15,11501,0
Parasitized,10,40.5,12.5,70,828
Parasitized,39,12944.5,0,0,0
Parasitized,123.5,94.5,15757,0,0
Parasitized,6128.5,0,0,0,0
Parasitized,192,4,16649.5,0,0
Parasitized,121.5,14787.5,0,0,0
Parasitized,11899,0,0,0,0
Parasitized,253.5,119.5,4,6709,0
Parasitized,236,10348.5,0,0,0
Parasitized,4692.5,0,0,0,0
Parasitized,47.5,749,12297,0,0
Parasitized,94,573.5,5.5,10320.5,0
Parasitized,252,16683.5,0,0,0
Parasitized,22.5,7,32.5,216.5,14783.5
Parasitized,5.5,83,60,95.5,11365.5
Parasitized,11,10764.5,0,0,0
Parasitized,97,11111,0,0,0
Parasitized,15130,0,0,0,0
Parasitized,144.5,15736,0,0,0
Parasitized,12546.5,0,0,0,0
Parasitized,198,13498.5,0,0,0
Parasitized,77,15750.5,0,0,0
Parasitized,323.5,9.5,1,0.5,11
Parasitized,138.5,16347.5,0,0,0
Parasitized,153.5,103,16380.5,0,0
Parasitized,61.5,83,122,14745.5,0
Parasitized,849.5,14980,0,0,0
Parasitized,347,0,229,15,0
Parasitized,43,5.5,0,0,0
Parasitized,163.5,7366.5,0,0,0
Parasitized,147.5,13642.5,0,0,0
Parasitized,11,28.5,277.5,15911,0
Parasitized,96,9344,0,0,0
Parasitized,148,38,291.5,11401,0
Parasitized,157.5,10565,0,0,0
Parasitized,131.5,11531.5,0,0,0
Parasitized,17.5,2,5.5,4,11
Parasitized,2.5,3104.5,0,0,0
Parasitized,18.5,100.5,11409,0,0
Parasitized,113.5,10767,0,0,0
Parasitized,478,3029.5,10073,0,0
Parasitized,231,620,96.5,246,31
Parasitized,165,5290,10543,0,0
Parasitized,23.5,1.5,7654,0,0
Parasitized,184.5,15431,0,0,0
Parasitized,94.5,16720,0,0,0
Parasitized,88.5,118.5,11515,0,0
Parasitized,181.5,8187,0,0,0
Parasitized,167.5,58,10495,0,0
Parasitized,316,7865.5,0,0,0
Parasitized,306.5,189,203.5,13223.5,0
Parasitized,158,22.5,142,128,12769
Parasitized,122.5,13345,7,0,0
Parasitized,191,413.5,8840.5,0,0
Parasitized,157,208,12778.5,0,0
Parasitized,4,70.5,20,171.5,41
Parasitized,10,213,10420.5,0,0
Parasitized,39.5,8666,0,0,0
Parasitized,20,287.5,7716.5,0,0
Parasitized,190.5,234,14458,0,0
Parasitized,38,313.5,11630,0,0
Parasitized,274.5,12426,0,0,0
Parasitized,15435.5,0,0,0,0
Parasitized,10050,0,0,0,0
Parasitized,122,17219.5,0,0,0
Parasitized,193.5,70.5,14,225.5,44.5
Parasitized,164.5,22.5,15,17755.5,0
Parasitized,9536.5,0,0,0,0
Parasitized,173.5,39.5,9299.5,0,0
Parasitized,11.5,42,11554.5,0,0
Parasitized,259,12586,0,0,0
Parasitized,21.5,236,12190,0,0
Parasitized,119.5,10218,0,0,0
Parasitized,251.5,12480.5,0,0,0
Parasitized,11872,0,0,0,0
Parasitized,2,46.5,42.5,14,64
Parasitized,200,8282.5,0,0,0
Parasitized,209.5,15191,0,0,0
Parasitized,135.5,12763.5,0,0,0
Parasitized,89.5,13974,0,0,0
Parasitized,45,311,217,49,8773
Parasitized,201.5,4763,0,0,0
Parasitized,102,89.5,13123.5,0,0
Parasitized,81,2,13969.5,0,0
Parasitized,0,1214,0,1093,5
Parasitized,28.5,8937,0,0,0
Parasitized,173,15291.5,0,0,0
Parasitized,21,5.5,43.5,270.5,14555
Parasitized,322.5,17.5,40.5,0,4
Parasitized,84.5,7.5,72.5,14080,0
Parasitized,172.5,13987.5,0,0,0
Parasitized,33.5,53,46.5,40.5,144.5
Parasitized,259,15828.5,0,0,0
Parasitized,44,214.5,7731,0,0
Parasitized,97,0,0,6631,11627
Parasitized,12.5,6,168,285.5,16294
Parasitized,184,15667.5,0,0,0
Parasitized,94,136,14661,0,0
Parasitized,148.5,11777,0,0,0
Parasitized,67,98,12957.5,0,0
Parasitized,19.5,214,9985.5,0,0
Parasitized,146,11480.5,0,0,0
Parasitized,77.5,12929,0,0,0
Parasitized,0,77,12560.5,0,0
Parasitized,74.5,9695,0,0,0
Parasitized,176,33,171.5,71.5,133.5
Parasitized,201,12934,0,0,0
Parasitized,128,23145.5,0,0,0
Parasitized,129,9162.5,0,0,0
Parasitized,83.5,15647,0,0,0
Parasitized,12.5,320.5,25,111.5,809
Parasitized,16618.5,0,0,0,0
Parasitized,352.5,4,105.5,225.5,231.5
Parasitized,57,14925,0,0,0
Parasitized,2,47.5,0,19,54
Parasitized,9.5,2,9396.5,0,0
Parasitized,42.5,11081.5,0,0,0
Parasitized,2,10,0,29,7.5
Parasitized,397,14726.5,0,0,0
Parasitized,173,10944,0,0,0
Parasitized,6,249.5,285,14588,0
Parasitized,39,151.5,136.5,15840,0
Parasitized,8.5,83.5,9666,0,0
Parasitized,169.5,12008.5,0,0,0
Parasitized,173.5,8,13796,0,0
Parasitized,195,12670,0,0,0
Parasitized,173,13076,0,0,0
Parasitized,14661.5,0,0,0,0
Parasitized,188.5,3342,0,0,0
Parasitized,145.5,14872,0,0,0
Parasitized,11,359,16129,0,0
Parasitized,4,12.5,29.5,182,31
Parasitized,226,20627,0,0,0
Parasitized,64.5,12.5,14157.5,0,0
Parasitized,8899.5,0,0,0,0
Parasitized,161.5,66,16723.5,0,0
Parasitized,168,345.5,361.5,16,0
Parasitized,344,39.5,13941,0,0
Parasitized,233,29.5,12288.5,0,0
Parasitized,407.5,10466.5,0,0,0
Parasitized,7894,0,0,0,0
Parasitized,416,9888,0,0,0
Parasitized,142.5,44,14218.5,0,0
Parasitized,663.5,2,11552.5,0,0
Parasitized,14705,0,0,0,0
Parasitized,155.5,9740,0,0,0
Parasitized,195,14350.5,0,0,0
Parasitized,143,18578.5,0,0,0
Parasitized,77,6518,0,0,0
Parasitized,55,130,7086,0,0
Parasitized,140,15169,0,0,0
Parasitized,1.5,43.5,21925.5,0,0
Parasitized,140,132.5,4,27,8415.5
Parasitized,14835,0,0,0,0
Parasitized,19,6567,10264,0,0
Parasitized,103,14843,0,0,0
Parasitized,137.5,10373.5,0,0,0
Parasitized,53.5,11989,0,0,0
Parasitized,191,12498.5,0,0,0
Parasitized,11.5,30,282,11099,0
Parasitized,44,3202.5,5720,0,0
Parasitized,0,2,4354.5,10100.5,0
Parasitized,368,16834.5,0,0,0
Parasitized,158.5,422,15,43.5,5.5
Parasitized,237.5,11818,0,0,0
Parasitized,11238,0,0,0,0
Parasitized,21,287.5,13158,0,0
Parasitized,270,16071.5,0,0,0
Parasitized,115.5,132,9110.5,0,0
Parasitized,197,15973,0,0,0
Parasitized,201.5,11627,0,0,0
Parasitized,185.5,35,121.5,24,107.5
Parasitized,164.5,10640,0,0,0
Parasitized,142,17038,0,0,0
Parasitized,223,18657.5,0,0,0
Parasitized,163.5,117,7367,0,0
Parasitized,27,12290,0,0,0
Parasitized,147.5,13024,0,0,0
Parasitized,83.5,25.5,5757.5,0,0
Parasitized,448,13929,0,0,0
Parasitized,22,1170.5,566,1432.5,172.5
Parasitized,0,8.5,5.5,7,3.5
Parasitized,6,651.5,0,0,113.5
Parasitized,170,17794.5,0,0,0
Parasitized,180.5,15793,0,0,0
Parasitized,9359.5,0,0,0,0
Parasitized,145,52,26.5,13381.5,0
Parasitized,204,16280,0,0,0
Parasitized,52.5,13887,0,0,0
Parasitized,12205.5,0,0,0,0
Parasitized,9.5,49,25,178.5,46.5
Parasitized,230,12586,0,0,0
Parasitized,39,77,166.5,15797,0
Parasitized,150,80,11945,0,0
Parasitized,5.5,33.5,267.5,4,35
Parasitized,219.5,48,13605.5,0,0
Parasitized,56.5,374,4843,9598.5,0
Parasitized,152.5,15444.5,0,0,0
Parasitized,169,133,13294,0,0
Parasitized,1261,13508,0,0,0
Parasitized,186,17382.5,0,0,0
Parasitized,182,15998,0,0,0
Parasitized,190,127,16682,0,0
Parasitized,354.5,1412.5,12265,0,0
Parasitized,177,10198.5,0,0,0
Parasitized,2,243,10055,0,0
Parasitized,14474,0,0,0,0
Parasitized,290.5,13976,0,0,0
Parasitized,179,9175,0,0,0
Parasitized,11,9416.5,0,0,0
Parasitized,29.5,168,12876,0,0
Parasitized,40.5,13007.5,0,0,0
Parasitized,148.5,15155,0,0,0
Parasitized,138.5,19037.5,0,0,0
Parasitized,73.5,175.5,15533,0,0
Parasitized,185,10476,0,0,0
Parasitized,168,10428.5,0,0,0
Parasitized,240,16038,0,0,0
Parasitized,659,180.5,127.5,17547,0
Parasitized,116,17949,0,0,0
Parasitized,72.5,107.5,13695,0,0
Parasitized,12698,0,0,0,0
Parasitized,351,12445,0,0,0
Parasitized,16.5,18246.5,0,0,0
Parasitized,190.5,16481,0,0,0
Parasitized,87,4,45,11079,0
Parasitized,149.5,161.5,14348.5,0,0
Parasitized,152.5,19.5,22.5,12981,0
Parasitized,71,14727.5,0,0,0
Parasitized,133.5,14675.5,0,0,0
Parasitized,14013.5,0,0,0,0
Parasitized,171,164.5,16227.5,0,0
Parasitized,145,213,10420.5,0,0
Parasitized,153.5,9528,0,0,0
Parasitized,60.5,7,24.5,42.5,26.5
Parasitized,37,26.5,13.5,151,11226
Parasitized,826,12193.5,0,0,0
Parasitized,25,28.5,11961,0,0
Parasitized,192.5,17,15089,0,0
Parasitized,154,11069.5,0,0,0
Parasitized,15496,0,0,0,0
Parasitized,0,15276.5,0,0,0
Parasitized,189,13273,0,0,0
Parasitized,25.5,7202.5,0,0,0
Parasitized,24.5,260.5,92,103,10475.5
Parasitized,4756.5,9577.5,0,0,0
Parasitized,59.5,202,120.5,288.5,25
Parasitized,52,166,16052.5,0,0
Parasitized,36,32,2,100.5,87
Parasitized,93,11318,0,0,0
Parasitized,8.5,56.5,13770,0,0
Parasitized,0,330.5,3033.5,0,0
Parasitized,8247.5,0,0,0,0
Parasitized,212.5,77.5,10440,0,0
Parasitized,212.5,11601,0,0,0
Parasitized,113.5,148,62,10891,0
Parasitized,204,9289.5,0,0,0
Parasitized,263.5,5.5,181.5,13124.5,0
Parasitized,9449.5,0,0,0,0
Parasitized,206,62.5,13568,0,0
Parasitized,291.5,8.5,11216.5,0,0
Parasitized,133.5,8727,0,0,0
Parasitized,166.5,8,240.5,218,12605.5
Parasitized,179,36.5,15137.5,0,0
Parasitized,645,719,15257.5,0,0
Parasitized,74.5,163.5,150,11422.5,0
Parasitized,7.5,0,0,0,1238
Parasitized,9892,0,0,0,0
Parasitized,27,9082.5,0,0,0
Parasitized,155.5,13957,0,0,0
Parasitized,474.5,13677,0,0,0
Parasitized,179,83,10828,0,0
Parasitized,205,191.5,29.5,13548.5,0
Parasitized,5514,8856,0,0,0
Parasitized,149,24,12223.5,0,0
Parasitized,421,5.5,10783,0,0
Parasitized,6490.5,0,0,0,0
Parasitized,16,2,12029.5,0,0
Parasitized,14329,0,0,0,0
Parasitized,5335.5,0,0,0,0
Parasitized,120.5,66,11617.5,0,0
Parasitized,189,9448.5,0,0,0
Parasitized,11.5,7,258.5,15461.5,0
Parasitized,205,12689.5,0,0,0
Parasitized,15,93.5,70,13981.5,0
Parasitized,9.5,847.5,19,46.5,20
Parasitized,194,298,14869,0,0
Parasitized,101.5,114,4,7.5,1
Parasitized,10.5,8711,0,0,0
Parasitized,0.5,0,476.5,0,0
Parasitized,108.5,12930.5,0,0,0
Parasitized,69,412.5,13300.5,0,0
Parasitized,67,12231.5,0,0,0
Parasitized,98.5,132,13274.5,0,0
Parasitized,13.5,215.5,16237,0,0
Parasitized,0,0,6,5,125.5
Parasitized,86,12040,0,0,0
Parasitized,280,17034,0,0,0
Parasitized,34.5,48,128,32,112
Parasitized,213,57,11505.5,0,0
Parasitized,175,9283,0,0,0
Parasitized,297.5,7881.5,0,0,0
Parasitized,41,15678.5,0,0,0
Parasitized,18,20.5,15,519,88.5
Parasitized,278.5,38,37.5,171.5,8
Parasitized,15,11,8774.5,0,0
Parasitized,85,15355.5,0,0,0
Parasitized,160,184,26469.5,0,0
Parasitized,200.5,4,10830,0,0
Parasitized,471.5,134,4535.5,0,0
Parasitized,38,12.5,401.5,16401.5,0
Parasitized,452,16371.5,0,0,0
Parasitized,68,15838.5,0,0,0
Parasitized,20.5,75,7,12593.5,0
Parasitized,5.5,83.5,15082.5,0,0
Parasitized,187,11251,0,0,0
Parasitized,39,341.5,115.5,387.5,605.5
Parasitized,204,10,274,61,249.5
Parasitized,2,12,0,10,1183
Parasitized,11.5,102,13493,0,0
Parasitized,157.5,12204,0,0,0
Parasitized,163,14698.5,0,0,0
Parasitized,30.5,44,21,372.5,0
Parasitized,149,15552.5,0,0,0
Parasitized,75.5,14778.5,0,0,0
Parasitized,12102.5,0,0,0,0
Parasitized,2,157.5,13488.5,0,0
Parasitized,13125.5,0,0,0,0
Parasitized,203.5,17.5,17.5,14805.5,0
Parasitized,82,12661,0,0,0
Parasitized,875,10,132,8603,0
Parasitized,102.5,9987,0,0,0
Parasitized,226.5,11881,0,0,0
Parasitized,75,31.5,113,7281,0
Parasitized,21,421,176.5,16033,0
Parasitized,104.5,175,14343.5,0,0
Parasitized,176,13395,0,0,0
Parasitized,123.5,11228,0,0,0
Parasitized,56.5,59,44,12622,0
Parasitized,21828.5,0,0,0,0
Parasitized,329,11536.5,0,0,0
Parasitized,487,6842.5,0,0,0
Parasitized,1,23.5,3.5,12512.5,0
Parasitized,5.5,14354.5,0,0,0
Parasitized,83.5,29.5,7491.5,0,0
Parasitized,128,602,10802,0,0
Parasitized,8,43.5,49.5,15,251
Parasitized,160.5,12614,0,0,0
Parasitized,256.5,32,11131,0,0
Parasitized,203,13874.5,0,0,0
Parasitized,76.5,188,20239.5,0,0
Parasitized,17445,0,0,0,0
Parasitized,296.5,10556.5,0,0,0
Parasitized,183.5,13922,0,0,0
Parasitized,223.5,18322.5,0,0,0
Parasitized,76.5,260.5,9648.5,0,0
Parasitized,20,80,9191.5,0,0
Parasitized,36,16752.5,0,0,0
Parasitized,283,54.5,11837.5,0,0
Parasitized,88,11005,0,0,0
Parasitized,58,175.5,8376.5,0,0
Parasitized,73,272,1681.5,13245,0
Parasitized,5847.5,0,0,0,0
Parasitized,215.5,68,7143,0,0
Parasitized,7456.5,1,0,0,0
Parasitized,53,363,12747.5,156,0
Parasitized,6884,9403,0,0,0
Parasitized,243.5,13.5,14767,0,0
Parasitized,3428,144,8761,0,0
Parasitized,99,10513.5,0,0,0
Parasitized,38,192,12192.5,0,0
Parasitized,12341,0,0,0,0
Parasitized,1926,613,5.5,472,9653.5
Parasitized,151.5,127,10130.5,0,0
Parasitized,213.5,5047.5,10326,0,0
Parasitized,399.5,10449.5,0,0,0
Parasitized,144,11945,0,0,0
Parasitized,241,11175.5,0,0,0
Parasitized,9749,0,0,0,0
Parasitized,199,13863.5,0,0,0
Parasitized,42.5,52,11765.5,0,0
Parasitized,84.5,12999.5,0,0,0
Parasitized,183.5,16644,0,0,0
Parasitized,36.5,15,190,12319.5,0
Parasitized,129,137,12217.5,0,0
Parasitized,16024,0,0,0,0
Parasitized,266,156.5,37.5,11999,0
Parasitized,151.5,146,16890,0,0
Parasitized,14,26,29.5,12.5,9.5
Parasitized,165,74.5,172,11873,0
Parasitized,44,4.5,0,0,0
Parasitized,184.5,13353,0,0,0
Parasitized,199.5,8442.5,0,0,0
Parasitized,174,12155,0,0,0
Parasitized,8.5,37.5,35.5,16.5,327.5
Parasitized,106,16936.5,0,0,0
Parasitized,201.5,96.5,290.5,9909,0
Parasitized,14,2,166,12624.5,0
Parasitized,24.5,62.5,84.5,9421,0
Parasitized,7796,0,0,0,0
Parasitized,128,34,372,55,83.5
Parasitized,94.5,13620,0,0,0
Parasitized,217,16486,0,0,0
Parasitized,117.5,17409.5,67,0,0
Parasitized,163,12732,0,0,0
Parasitized,186.5,14657,0,0,0
Parasitized,59.5,10293.5,0,0,0
Parasitized,181.5,8832,0,0,0
Parasitized,88,93,1195.5,389.5,16.5
Parasitized,195,15262.5,0,0,0
Parasitized,11,6,1909.5,5.5,442
Parasitized,87.5,19217,0,0,0
Parasitized,7114.5,0,0,0,0
Parasitized,9057,0,0,0,0
Parasitized,181,38.5,446.5,11901,0
Parasitized,213.5,19661,0,0,0
Parasitized,13980.5,0,0,0,0
Parasitized,248,14391.5,0,0,0
Parasitized,66.5,126,1260,61,25.5
Parasitized,150,10412.5,0,0,0
Parasitized,18.5,10516.5,0,0,0
Parasitized,9897,0,0,0,0
Parasitized,170.5,12941,0,0,0
Parasitized,22,10164,0,0,0
Parasitized,61,210.5,14747,0,0
Parasitized,124.5,27,18535,0,0
Parasitized,15,0.5,5.5,1177.5,12.5
Parasitized,178,16,339,138,162
Parasitized,280.5,359,314.5,127,9451.5
Parasitized,11,248,12194.5,0,0
Parasitized,14,129.5,10981,0,0
Parasitized,34.5,94.5,12138.5,0,0
Parasitized,99.5,4,39,93,49.5
Parasitized,165,12938.5,0,0,0
Parasitized,324,7974.5,0,0,0
Parasitized,64.5,77,43.5,15950.5,0
Parasitized,8543.5,0,0,0,0
Parasitized,150,9841,0,0,0
Parasitized,14144,0,0,0,0
Parasitized,0,5.5,3.5,5289,0
Parasitized,41.5,114,61.5,22.5,76
Parasitized,163.5,13196,0,0,0
Parasitized,338.5,17,15344.5,0,0
Parasitized,193.5,10232,0,0,0
Parasitized,59,28,11223,0,0
Parasitized,142,13818,0,0,0
Parasitized,8101,0,0,0,0
Parasitized,22,8645.5,0,0,0
Parasitized,178,12857.5,0,0,0
Parasitized,68.5,8.5,0,0,1.5
Parasitized,0,11.5,12111.5,0,0
Parasitized,205.5,11678.5,0,0,0
Parasitized,142,162,15906.5,0,0
Parasitized,256,12588,0,0,0
Parasitized,15260,0,0,0,0
Parasitized,2,44.5,145.5,14812,0
Parasitized,8481.5,0,0,0,0
Parasitized,88,13024.5,0,0,0
Parasitized,278,157,12729,0,0
Parasitized,70,12818,0,0,0
Parasitized,310.5,15402,0,0,0
Parasitized,128,11604.5,0,0,0
Parasitized,77,8299,0,0,0
Parasitized,9794,0,0,0,0
Parasitized,204,16744.5,0,0,0
Parasitized,165,2,31,12446,0
Parasitized,7,35.5,15,25,9442.5
Parasitized,63.5,9285.5,0,0,0
Parasitized,49.5,18102.5,0,0,0
Parasitized,7,12222.5,0,0,0
Parasitized,4,126.5,9605,0,0
Parasitized,13129.5,0,0,0,0
Parasitized,0,15518,0,0,0
Parasitized,7,8.5,17.5,49,99.5
Parasitized,1626,4,1472.5,14245.5,0
Parasitized,16092,0,0,0,0
Parasitized,467,11199,0,0,0
Parasitized,141,62.5,2,49,173
Parasitized,84.5,10065,0,0,0
Parasitized,27,8.5,64.5,81,30946
Parasitized,34,13198,0,0,0
Parasitized,635.5,199,13152.5,0,0
Parasitized,153.5,12709.5,0,0,0
Parasitized,141.5,171,12391,0,0
Parasitized,16581,0,0,0,0
Parasitized,3713.5,0,0,0,0
Parasitized,134.5,13347.5,0,0,0
Parasitized,14662,0,0,0,0
Parasitized,188.5,12667.5,0,0,0
Parasitized,176,14743.5,0,0,0
Parasitized,98.5,140,9732,0,0
Parasitized,15,131.5,27,280.5,63.5
Parasitized,127,14327,0,0,0
Parasitized,89,10001.5,0,0,0
Parasitized,177.5,10077.5,0,0,0
Parasitized,85,10604,0,0,0
